event_date,ab_group,avg_completions_7d_bucket,players,pct_of_dau,total_revenue,arpdau,payer_rate_pct,arppu,avg_time_spent_mins,avg_level_attempts,avg_level_completes,pass_rate,oom_rate,foom_rate,avg_apc,avg_hc_gain_total,avg_hc_gain_total_minus_saga,avg_hc_gain_saga,avg_hc_gain_paid,avg_hc_gain_free,avg_hc_spent,hc_spent_per_attempt,paid_pct_of_total_gain,p50_hc_balance,p75_hc_balance,p90_hc_balance,avg_player_performance,avg_pr_last_50_levels,avg_daily_streak,p25_daily_streak,p50_daily_streak,p75_daily_streak,p90_daily_streak,pct_player_days_passed_R1,pct_player_days_passed_R2,pct_player_days_passed_R3,d1_churn_rate,actual_liveops_active_rate_pct,actual_pct_finished_R1,actual_pct_finished_R2,actual_pct_finished_R3,avg_booster_gain_total,avg_booster_gain_paid,avg_booster_gain_free,avg_booster_spend,booster_spend_per_attempt,hc_clean_players,hc_excluded_players,avg_hc_gain_CORE,avg_hc_gain_META,avg_hc_gain_ADS,avg_hc_gain_PURCHASE,avg_hc_gain_OTHER,p99_daily_streak,p99_hc_balance,avg_prelevel_gain_total,avg_prelevel_gain_paid,avg_prelevel_gain_free,avg_prelevel_spend,prelevel_spend_per_attempt,avg_ingame_gain_total,avg_ingame_gain_paid,avg_ingame_gain_free,avg_ingame_spend,ingame_spend_per_attempt,avg_red_gain_total,avg_red_gain_paid,avg_red_gain_free,avg_red_spend,avg_chuck_gain_total,avg_chuck_gain_paid,avg_chuck_gain_free,avg_chuck_spend,avg_bomb_gain_total,avg_bomb_gain_paid,avg_bomb_gain_free,avg_bomb_spend,avg_star_gain_total,avg_star_gain_paid,avg_star_gain_free,avg_star_spend,avg_slingshot_gain_total,avg_slingshot_gain_paid,avg_slingshot_gain_free,avg_slingshot_spend,avg_shuffle_gain_total,avg_shuffle_gain_paid,avg_shuffle_gain_free,avg_shuffle_spend,avg_spt_gain_total,spt_gainer_rate_pct,avg_spt_gain_per_gainer,avg_spt_gain_CORE,avg_spt_gain_RAINBOW,avg_spt_gain_OFFER,avg_spt_gain_EVENT,avg_spt_gain_OTHER,hc_players_over_config,avg_hc_excess_removed,avg_hc_gain_total_uncorrected,avg_spt_excess_removed,avg_spt_gain_RAINBOW_uncorrected
2026-07-27,Variant,E. 40-99,3021,11.0,742.68,0.2458,4.07,6.038,124.73,76.03,56.97,0.7492,0.3607,0.2298,1.3347,356.24,324.8,31.44,20.99,335.25,332.17,4.3687,5.89,343,560,1407,55.1229,0.7354,31.05,13,24,43,63,45.28,11.49,2.42,0.184,45.58,45.58,29.63,18.01,20.2148,0.6246,19.5902,15.1675,0.1995,3021,0,125.46,201.26,3.88,20.99,4.66,120,16381,10.2307,0.4598,9.7709,7.0205,0.0923,9.9841,0.1648,9.8193,8.147,0.1071,3.7756,0.143,3.6326,2.6058,3.9603,0.1529,3.8073,2.669,2.4949,0.1639,2.331,1.7458,2.0156,0.0414,1.9742,1.8252,4.4919,0.0712,4.4207,3.2688,3.4767,0.0523,3.4244,3.053,442.31,99.01,446.74,305.79,121.95,7.84,6.72,0.0,1508,5.33,361.58,10.85,132.81
2026-07-27,Variant,F. 100+,388,1.41,162.75,0.4195,4.64,9.0417,253.06,169.1,125.53,0.7423,0.3393,0.2075,1.3471,620.87,542.17,78.7,31.96,588.91,594.46,3.5155,5.15,423,672,1466,56.9135,0.7692,56.48,25,41,73,112,22.42,3.87,0.52,0.0902,65.72,65.72,53.09,45.62,34.8041,0.9021,33.9021,29.6598,0.1754,388,0,265.12,309.39,4.56,31.96,9.84,233,11500,17.6933,0.6649,17.0284,11.6933,0.0692,17.1108,0.2371,16.8737,17.9665,0.1063,6.1675,0.1495,6.018,4.1469,6.5258,0.1727,6.3531,4.3067,5.0,0.3428,4.6572,3.2397,3.5412,0.0644,3.4768,5.3351,7.3402,0.0979,7.2423,6.3969,6.2294,0.0747,6.1546,6.2345,914.06,99.74,916.42,649.77,243.69,10.93,9.66,0.0,222,10.41,631.28,20.86,264.55
2026-07-28,Control,A. 0,4657,17.07,226.82,0.0487,0.67,7.3168,10.46,5.6,3.59,0.6407,0.4609,0.2133,1.5607,31.72,31.58,0.15,4.91,26.82,19.72,3.5229,15.47,200,401,2757,49.6388,0.5422,,,,,,0.0,0.0,0.0,0.5922,,,,,0.9255,0.0369,0.8886,0.67,0.1197,4657,0,9.18,16.07,1.42,4.91,0.15,,26628,0.335,0.0135,0.3215,0.3496,0.0624,0.5905,0.0234,0.5671,0.3204,0.0572,0.1153,0.0054,0.1099,0.1422,0.1432,0.0041,0.1391,0.1303,0.0764,0.0041,0.0724,0.0771,0.117,0.0034,0.1136,0.0777,0.2547,0.0155,0.2392,0.1132,0.2188,0.0045,0.2143,0.1295,52.63,7.3,720.83,49.56,0.0,0.77,2.29,0.0,1,0.0,31.72,0.0,0.0
2026-07-28,Control,B. 1-9,8069,29.57,90.88,0.0113,0.59,1.8933,17.59,9.52,4.97,0.5225,0.5863,0.3491,1.9139,40.63,32.39,8.25,1.04,39.59,40.47,4.2514,2.56,200,300,1026,49.6339,0.5927,4.03,2,3,5,8,75.46,34.74,6.59,0.5365,,,,,2.2977,0.0342,2.2635,2.0602,0.2164,8069,0,25.55,11.66,1.8,1.04,0.59,16,16362,1.3388,0.0193,1.3195,1.1219,0.1179,0.9589,0.0149,0.944,0.9383,0.0986,0.48,0.0087,0.4713,0.455,0.6236,0.0027,0.6209,0.4447,0.2352,0.0079,0.2273,0.2223,0.1711,0.0037,0.1674,0.1861,0.4496,0.0082,0.4414,0.4158,0.3381,0.003,0.3351,0.3363,68.25,62.83,108.62,63.34,0.0,2.45,2.46,0.0,0,0.0,40.63,0.0,0.0
2026-07-28,Control,C. 10-19,6189,22.68,380.87,0.0615,1.91,3.2277,37.06,20.57,13.31,0.6472,0.48,0.2996,1.545,93.41,68.96,24.45,4.9,88.51,89.41,4.3473,5.24,244,413,1286,51.8578,0.6842,9.62,4,9,13,18,66.2,28.36,3.15,0.3686,,,,,5.2385,0.0973,5.1412,4.5317,0.2203,6189,0,56.18,28.2,2.87,4.9,1.26,32,22904,3.1601,0.064,3.0961,2.4818,0.1207,2.0784,0.0333,2.0451,2.0499,0.0997,1.2047,0.025,1.1797,0.9924,1.4106,0.0139,1.3967,0.9948,0.5448,0.025,0.5198,0.4946,0.3359,0.0073,0.3286,0.3997,0.9386,0.0142,0.9244,0.8572,0.8038,0.0118,0.7921,0.793,152.73,81.98,186.3,137.94,0.0,3.89,10.9,0.0,0,0.0,93.41,0.0,0.0
2026-07-28,Control,D. 20-39,4839,17.73,654.21,0.1352,2.67,5.0714,58.9,35.03,26.08,0.7444,0.3784,0.2486,1.3433,171.67,123.13,48.54,10.55,161.12,164.65,4.7003,6.15,294,488,1211,53.2329,0.753,16.83,7,14,24,33,59.91,21.74,4.32,0.3207,,,,,8.8119,0.1918,8.6202,7.328,0.2092,4839,0,99.75,55.99,2.9,10.55,2.47,60,18773,5.2707,0.1141,5.1566,3.7781,0.1079,3.5412,0.0777,3.4635,3.5499,0.1013,1.9357,0.0322,1.9035,1.4313,2.3542,0.0329,2.3213,1.5627,0.9808,0.049,0.9318,0.784,0.6005,0.0203,0.5803,0.7342,1.4406,0.0275,1.4131,1.341,1.5001,0.03,1.4701,1.4747,307.96,93.24,330.28,284.08,0.0,5.37,18.52,0.0,0,0.0,171.67,0.0,0.0
2026-07-28,Control,E. 40-99,3066,11.24,508.06,0.1657,3.36,4.9326,110.17,68.59,52.1,0.7595,0.3492,0.2311,1.3166,347.71,240.66,107.05,19.91,327.8,322.73,4.705,5.73,370,623,1429,55.2714,0.7848,29.85,11,22,42,62,41.42,10.93,2.02,0.1791,,,,,15.4279,0.3767,15.0512,13.122,0.1913,3066,0,200.43,118.42,3.72,19.91,5.22,126,15324,8.8995,0.1879,8.7117,6.5894,0.0961,6.5284,0.1888,6.3395,6.5326,0.0952,3.5391,0.0568,3.4824,2.5525,3.8519,0.0587,3.7932,2.7508,1.5085,0.0724,1.4361,1.286,1.2893,0.0672,1.2221,1.5796,2.3777,0.0682,2.3095,2.3206,2.8614,0.0535,2.8079,2.6324,606.86,99.12,612.25,567.12,0.06,7.66,32.02,0.0,1,0.0,347.71,0.0,0.07
2026-07-28,Control,F. 100+,468,1.72,217.78,0.4653,5.98,7.7779,234.59,160.07,124.4,0.7771,0.307,0.1985,1.2868,712.35,450.19,262.17,39.0,673.36,675.53,4.2201,5.47,477,877,1667,57.8386,0.8077,58.51,23,40,77,135,23.72,3.85,0.21,0.1175,,,,,32.3654,0.5748,31.7906,32.5534,0.2034,468,0,457.78,196.89,6.93,39.0,11.76,268,16673,18.9765,0.25,18.7265,14.5534,0.0909,13.3889,0.3248,13.0641,18.0,0.1124,7.4017,0.0791,7.3226,5.7201,8.3141,0.0791,8.235,6.1325,3.2607,0.0919,3.1688,2.7009,2.7244,0.1026,2.6218,5.609,4.891,0.1239,4.7671,5.3483,5.7735,0.0983,5.6752,7.0427,1433.33,100.0,1433.33,1379.03,0.0,13.25,41.06,0.0,0,0.0,712.35,0.0,0.0
2026-07-28,Variant,A. 0,4670,17.3,162.19,0.0347,0.49,7.0517,15.68,8.39,5.59,0.6664,0.4499,0.2247,1.5007,31.41,31.31,0.11,3.58,27.84,24.34,2.9016,11.38,200,341,2469,49.5224,0.527,,,,,,0.0,0.0,0.0,0.594,4.54,4.54,2.91,1.46,1.4403,0.0452,1.3951,1.4544,0.1734,4670,0,7.49,18.48,1.68,3.58,0.18,,24795,0.6077,0.0186,0.5891,0.6966,0.0831,0.8325,0.0266,0.806,0.7578,0.0904,0.231,0.006,0.2251,0.2784,0.2227,0.0066,0.2161,0.2351,0.154,0.006,0.148,0.1831,0.1794,0.0075,0.1719,0.1681,0.3743,0.0118,0.3625,0.239,0.2788,0.0073,0.2715,0.3507,50.35,10.71,470.25,35.3,13.46,0.69,0.9,0.0,721,5.44,36.86,1.35,14.81
2026-07-28,Variant,B. 1-9,7877,29.19,105.73,0.0134,0.61,2.2027,19.12,10.02,4.9,0.4889,0.61,0.3484,2.0452,34.04,31.43,2.61,1.28,32.76,36.35,3.6281,3.77,200,283,977,49.4744,0.5999,3.94,2,3,5,8,75.42,33.82,5.27,0.5473,28.31,28.31,12.64,3.59,2.6852,0.0621,2.6231,2.2191,0.2215,7877,0,15.5,15.22,1.55,1.28,0.49,15,17118,1.6401,0.0514,1.5887,1.2688,0.1266,1.0451,0.0107,1.0344,0.9504,0.0949,0.7352,0.0176,0.7175,0.5657,0.6806,0.0146,0.666,0.4748,0.2243,0.0192,0.2052,0.2283,0.1303,0.0024,0.1278,0.1653,0.6298,0.0039,0.6259,0.4782,0.285,0.0043,0.2807,0.3068,46.92,61.18,76.69,33.78,10.26,2.11,0.76,0.0,1533,0.66,34.7,1.09,11.35
