ab_group,pass_players,avg_saga_completes,avg_spt_gain_non_rainbow,avg_spt_gain_rainbow_maker,avg_pass_score_count,avg_milestone
Control,62579,137.8,129.0,0.0,1897.5,13.42
Variant,62391,135.1,128.0,153.6,1601.0,12.48
