segment,ab_group,category,resource,amount_free,amount_total,player_days,papd_free
100+,Control,Team Event,Shuffle,198.0,198.0,4096.0,0.04834
100+,Control,Team Event,Slingshot,280.0,280.0,4096.0,0.068359
100+,Control,Team Race,Bomb,469.0,469.0,4096.0,0.114502
100+,Control,Team Race,Chuck,107.0,107.0,4096.0,0.026123
100+,Control,Team Race,Comet,1278.0,1278.0,4096.0,0.312012
100+,Control,Team Race,HC,129755.0,129755.0,4096.0,31.678467
100+,Control,Team Race,Red,59.0,59.0,4096.0,0.014404
100+,Control,Team Race,SPT,57510.0,57510.0,4096.0,14.040527
100+,Control,Team Race,Shuffle,727.0,727.0,4096.0,0.17749
100+,Control,Team Race,Slingshot,370.0,370.0,4096.0,0.090332
100+,Control,Team Race,Unlimited Lives,2775.0,2775.0,4096.0,0.67749
100+,Variant,Ads,Bomb,4.0,4.0,4054.0,0.000987
100+,Variant,Ads,Chuck,17.0,17.0,4054.0,0.004193
100+,Variant,Ads,Comet,196.0,196.0,4054.0,0.048347
100+,Variant,Ads,HC,20215.0,20215.0,4054.0,4.986433
100+,Variant,Ads,Red,11.0,11.0,4054.0,0.002713
100+,Variant,Ads,Shuffle,385.0,385.0,4054.0,0.094968
100+,Variant,Ads,Slingshot,398.0,398.0,4054.0,0.098175
100+,Variant,Ads,Unlimited Lives,6890.0,6890.0,4054.0,1.699556
100+,Variant,Bomb Challenge,Comet,1.0,1.0,4054.0,0.000247
100+,Variant,Bomb Challenge,HC,550.0,550.0,4054.0,0.135668
100+,Variant,Bomb Challenge,Shuffle,5.0,5.0,4054.0,0.001233
100+,Variant,Bomb Challenge,Slingshot,3.0,3.0,4054.0,0.00074
100+,Variant,Bomb's Ballet,Bomb,119.0,119.0,4054.0,0.029354
100+,Variant,Bomb's Ballet,Chuck,165.0,165.0,4054.0,0.040701
100+,Variant,Bomb's Ballet,Comet,119.0,119.0,4054.0,0.029354
100+,Variant,Bomb's Ballet,HC,13450.0,13450.0,4054.0,3.317711
100+,Variant,Bomb's Ballet,Red,164.0,164.0,4054.0,0.040454
100+,Variant,Bomb's Ballet,Shuffle,117.0,117.0,4054.0,0.02886
100+,Variant,Bomb's Ballet,Slingshot,139.0,139.0,4054.0,0.034287
100+,Variant,Bomb's Ballet,UL Bomb,3810.0,3810.0,4054.0,0.939813
100+,Variant,Bomb's Ballet,UL Chuck,3720.0,3720.0,4054.0,0.917612
100+,Variant,Bomb's Ballet,UL Red,3840.0,3840.0,4054.0,0.947213
100+,Variant,Bomb's Ballet,Unlimited Lives,21840.0,21840.0,4054.0,5.387272
100+,Variant,Chuck Challenge,Comet,416.0,416.0,4054.0,0.102615
100+,Variant,Chuck Challenge,HC,102650.0,102650.0,4054.0,25.320671
100+,Variant,Chuck Challenge,Shuffle,271.0,271.0,4054.0,0.066848
100+,Variant,Chuck Challenge,Slingshot,33.0,33.0,4054.0,0.00814
100+,Variant,Core,Bomb,4296.0,4296.0,4054.0,1.059694
100+,Variant,Core,Chuck,5412.0,5412.0,4054.0,1.334978
100+,Variant,Core,Comet,2335.0,2335.0,4054.0,0.575974
100+,Variant,Core,HC,692865.0,692865.0,4054.0,170.908979
100+,Variant,Core,Red,2265.0,2265.0,4054.0,0.558707
100+,Variant,Core,Shuffle,6894.0,6894.0,4054.0,1.700543
100+,Variant,Core,Slingshot,6227.0,6227.0,4054.0,1.536014
100+,Variant,Core,Unlimited Lives,403440.0,403440.0,4054.0,99.516527
100+,Variant,Daily Gift,Comet,42.0,42.0,4054.0,0.01036
100+,Variant,Daily Gift,HC,49270.0,49270.0,4054.0,12.153429
100+,Variant,Daily Gift,Shuffle,333.0,333.0,4054.0,0.082141
100+,Variant,Daily Gift,Slingshot,736.0,736.0,4054.0,0.181549
100+,Variant,Daily Gift,UL Bomb,1380.0,1380.0,4054.0,0.340405
100+,Variant,Daily Gift,UL Chuck,3870.0,3870.0,4054.0,0.954613
100+,Variant,Daily Gift,UL Red,5970.0,5970.0,4054.0,1.47262
100+,Variant,Daily Gift,Unlimited Lives,56350.0,56350.0,4054.0,13.899852
100+,Variant,Daily Night Sky Prize,Chuck,1605.0,1605.0,4054.0,0.395905
100+,Variant,Daily Night Sky Prize,Comet,267.0,267.0,4054.0,0.065861
100+,Variant,Daily Night Sky Prize,HC,313030.0,313030.0,4054.0,77.215096
100+,Variant,Daily Night Sky Prize,Red,2183.0,2183.0,4054.0,0.538481
100+,Variant,Daily Night Sky Prize,Slingshot,1872.0,1872.0,4054.0,0.461766
100+,Variant,Daily Night Sky Prize,Unlimited Lives,93030.0,93030.0,4054.0,22.947706
100+,Variant,Flock Flurry,Bomb,534.0,534.0,4054.0,0.131722
100+,Variant,Flock Flurry,Chuck,534.0,534.0,4054.0,0.131722
100+,Variant,Flock Flurry,Red,534.0,534.0,4054.0,0.131722
100+,Variant,Flock Flurry,SPT,10020.0,10020.0,4054.0,2.471633
100+,Variant,Flock Flurry,Slingshot,534.0,534.0,4054.0,0.131722
100+,Variant,Flock Flurry,Unlimited Lives,100620.0,100620.0,4054.0,24.819931
100+,Variant,Hatchling Hideaway,Bomb,944.0,944.0,4054.0,0.232856
100+,Variant,Hatchling Hideaway,Chuck,1008.0,1008.0,4054.0,0.248643
100+,Variant,Hatchling Hideaway,Comet,938.0,938.0,4054.0,0.231376
100+,Variant,Hatchling Hideaway,HC,41965.0,41965.0,4054.0,10.351505
100+,Variant,Hatchling Hideaway,Red,1061.0,1061.0,4054.0,0.261717
100+,Variant,Hatchling Hideaway,Shuffle,834.0,834.0,4054.0,0.205723
100+,Variant,Hatchling Hideaway,Slingshot,650.0,650.0,4054.0,0.160335
100+,Variant,Hatchling Hideaway,UL Chuck,6470.0,6470.0,4054.0,1.595955
100+,Variant,Hatchling Hideaway,UL Red,8310.0,8310.0,4054.0,2.049827
100+,Variant,Hatchling Hideaway,Unlimited Lives,91980.0,91980.0,4054.0,22.688703
100+,Variant,Jigsaw,Bomb,335.0,335.0,4054.0,0.082634
100+,Variant,Jigsaw,Chuck,784.0,784.0,4054.0,0.193389
100+,Variant,Jigsaw,Comet,335.0,335.0,4054.0,0.082634
100+,Variant,Jigsaw,HC,46950.0,46950.0,4054.0,11.581154
100+,Variant,Jigsaw,Red,690.0,690.0,4054.0,0.170202
100+,Variant,Jigsaw,Slingshot,386.0,386.0,4054.0,0.095215
100+,Variant,Jigsaw,UL Bomb,11970.0,11970.0,4054.0,2.952639
100+,Variant,Jigsaw,UL Chuck,13910.0,13910.0,4054.0,3.431179
100+,Variant,Jigsaw,UL Red,15745.0,15745.0,4054.0,3.883818
100+,Variant,Jigsaw,Unlimited Lives,81150.0,81150.0,4054.0,20.017267
100+,Variant,Kite Festival,Bomb,40.0,40.0,4054.0,0.009867
100+,Variant,Kite Festival,Chuck,34.0,34.0,4054.0,0.008387
100+,Variant,Kite Festival,Comet,113.0,113.0,4054.0,0.027874
100+,Variant,Kite Festival,HC,52875.0,52875.0,4054.0,13.042674
100+,Variant,Kite Festival,Red,19.0,19.0,4054.0,0.004687
100+,Variant,Kite Festival,SPT,70520.0,70520.0,4054.0,17.395165
100+,Variant,Kite Festival,Shuffle,124.0,124.0,4054.0,0.030587
100+,Variant,Kite Festival,Slingshot,123.0,123.0,4054.0,0.03034
100+,Variant,Kite Festival,Unlimited Lives,22400.0,22400.0,4054.0,5.525407
100+,Variant,Level Race,SPT,150.0,150.0,4054.0,0.037
100+,Variant,Level Race,Slingshot,1.0,1.0,4054.0,0.000247
100+,Variant,Other,Bomb,1511.0,1727.0,4054.0,0.372718
100+,Variant,Other,Chuck,1519.0,1729.0,4054.0,0.374692
100+,Variant,Other,Comet,289.0,535.0,4054.0,0.071288
100+,Variant,Other,HC,62397.0,196697.0,4054.0,15.391465
100+,Variant,Other,Red,1571.0,1775.0,4054.0,0.387519
100+,Variant,Other,SPT,56500.0,56500.0,4054.0,13.936852
100+,Variant,Other,Shuffle,804.0,1093.0,4054.0,0.198323
100+,Variant,Other,Slingshot,386.0,837.0,4054.0,0.095215
100+,Variant,Other,UL Bomb,0.0,3320.0,4054.0,0.0
100+,Variant,Other,UL Chuck,0.0,3320.0,4054.0,0.0
100+,Variant,Other,UL Red,0.0,3320.0,4054.0,0.0
100+,Variant,Other,Unlimited Lives,12545.0,18080.0,4054.0,3.094475
100+,Variant,Rainbow Maker,Bomb,1904.0,1904.0,4054.0,0.46966
100+,Variant,Rainbow Maker,Chuck,2237.0,2237.0,4054.0,0.551801
100+,Variant,Rainbow Maker,Comet,4579.0,4579.0,4054.0,1.129502
100+,Variant,Rainbow Maker,HC,98118.0,98118.0,4054.0,24.202763
100+,Variant,Rainbow Maker,Red,2356.0,2356.0,4054.0,0.581154
100+,Variant,Rainbow Maker,SPT,520547.0,520547.0,4054.0,128.403305
100+,Variant,Rainbow Maker,Shuffle,5354.0,5354.0,4054.0,1.320671
100+,Variant,Rainbow Maker,Slingshot,6911.0,6911.0,4054.0,1.704736
100+,Variant,Rainbow Maker,UL Chuck,4160.0,4160.0,4054.0,1.026147
100+,Variant,Rainbow Maker,UL Red,14610.0,14610.0,4054.0,3.603848
100+,Variant,Rainbow Maker,Unlimited Lives,103380.0,103380.0,4054.0,25.50074
100+,Variant,Red Challenge,Comet,4.0,4.0,4054.0,0.000987
100+,Variant,Red Challenge,HC,1700.0,1700.0,4054.0,0.419339
100+,Variant,Red Challenge,Shuffle,15.0,15.0,4054.0,0.0037
100+,Variant,Red Challenge,Slingshot,5.0,5.0,4054.0,0.001233
100+,Variant,River Rush,Bomb,2.0,2.0,4054.0,0.000493
100+,Variant,River Rush,Chuck,2.0,2.0,4054.0,0.000493
100+,Variant,River Rush,Comet,7.0,7.0,4054.0,0.001727
100+,Variant,River Rush,HC,1050.0,1050.0,4054.0,0.259003
100+,Variant,River Rush,Red,5.0,5.0,4054.0,0.001233
100+,Variant,River Rush,SPT,90.0,90.0,4054.0,0.0222
100+,Variant,River Rush,Shuffle,1.0,1.0,4054.0,0.000247
100+,Variant,River Rush,Slingshot,5.0,5.0,4054.0,0.001233
100+,Variant,River Rush,UL Bomb,40.0,40.0,4054.0,0.009867
100+,Variant,River Rush,UL Chuck,65.0,65.0,4054.0,0.016034
100+,Variant,River Rush,UL Red,80.0,80.0,4054.0,0.019734
100+,Variant,Saga,Bomb,4924.0,4924.0,4054.0,1.214603
100+,Variant,Saga,Chuck,5012.0,5012.0,4054.0,1.23631
100+,Variant,Saga,Comet,21.0,21.0,4054.0,0.00518
100+,Variant,Saga,HC,311835.0,311835.0,4054.0,76.920326
100+,Variant,Saga,Red,5433.0,5433.0,4054.0,1.340158
100+,Variant,Saga,Shuffle,4942.0,4942.0,4054.0,1.219043
100+,Variant,Saga,Slingshot,5078.0,5078.0,4054.0,1.25259
100+,Variant,Saga,Unlimited Lives,1325840.0,1325840.0,4054.0,327.044894
100+,Variant,Season Pass (Free),Bomb,1017.0,1017.0,4054.0,0.250863
100+,Variant,Season Pass (Free),Chuck,3391.0,3391.0,4054.0,0.836458
100+,Variant,Season Pass (Free),Comet,110.0,110.0,4054.0,0.027134
100+,Variant,Season Pass (Free),HC,75440.0,75595.0,4054.0,18.608781
100+,Variant,Season Pass (Free),Red,3263.0,3263.0,4054.0,0.804884
100+,Variant,Season Pass (Free),Shuffle,1169.0,1169.0,4054.0,0.288357
100+,Variant,Season Pass (Free),Slingshot,420.0,420.0,4054.0,0.103601
100+,Variant,Season Pass (Free),UL Bomb,980.0,980.0,4054.0,0.241737
100+,Variant,Season Pass (Free),UL Chuck,14170.0,14170.0,4054.0,3.495313
100+,Variant,Season Pass (Free),UL Red,25070.0,25070.0,4054.0,6.184016
100+,Variant,Season Pass (Free),Unlimited Lives,105495.0,105495.0,4054.0,26.022447
100+,Variant,Target Day,Bomb,213.0,213.0,4054.0,0.052541
100+,Variant,Target Day,Chuck,75.0,75.0,4054.0,0.0185
100+,Variant,Target Day,Comet,884.0,884.0,4054.0,0.218056
100+,Variant,Target Day,HC,110525.0,110525.0,4054.0,27.263197
100+,Variant,Target Day,Red,61.0,61.0,4054.0,0.015047
100+,Variant,Target Day,Shuffle,336.0,336.0,4054.0,0.082881
100+,Variant,Target Day,Slingshot,182.0,182.0,4054.0,0.044894
100+,Variant,Target Day,Unlimited Lives,26250.0,26250.0,4054.0,6.475086
100+,Variant,Team Event,Comet,107.0,107.0,4054.0,0.026394
100+,Variant,Team Event,HC,29170.0,29170.0,4054.0,7.195363
100+,Variant,Team Event,Shuffle,168.0,168.0,4054.0,0.041441
100+,Variant,Team Event,Slingshot,249.0,249.0,4054.0,0.061421
100+,Variant,Team Race,Bomb,569.0,569.0,4054.0,0.140355
100+,Variant,Team Race,Chuck,168.0,168.0,4054.0,0.041441
100+,Variant,Team Race,Comet,1365.0,1365.0,4054.0,0.336704
100+,Variant,Team Race,HC,100755.0,100755.0,4054.0,24.853231
100+,Variant,Team Race,Red,59.0,59.0,4054.0,0.014554
100+,Variant,Team Race,SPT,80375.0,80375.0,4054.0,19.826098
100+,Variant,Team Race,Shuffle,805.0,805.0,4054.0,0.198569
100+,Variant,Team Race,Slingshot,311.0,311.0,4054.0,0.076714
100+,Variant,Team Race,Unlimited Lives,995.0,995.0,4054.0,0.245437
20-39,Control,Ads,Bomb,7.0,7.0,43612.0,0.000161
20-39,Control,Ads,Chuck,19.0,19.0,43612.0,0.000436
20-39,Control,Ads,Comet,1171.0,1171.0,43612.0,0.02685
20-39,Control,Ads,HC,118195.0,118195.0,43612.0,2.710149
20-39,Control,Ads,Red,29.0,29.0,43612.0,0.000665
20-39,Control,Ads,Shuffle,2564.0,2564.0,43612.0,0.058791
20-39,Control,Ads,Slingshot,2593.0,2593.0,43612.0,0.059456
20-39,Control,Ads,Unlimited Lives,41430.0,41430.0,43612.0,0.949968
20-39,Control,Bomb Challenge,Comet,217.0,217.0,43612.0,0.004976
20-39,Control,Bomb Challenge,HC,98500.0,98500.0,43612.0,2.258553
20-39,Control,Bomb Challenge,Shuffle,1530.0,1530.0,43612.0,0.035082
20-39,Control,Bomb Challenge,Slingshot,1511.0,1511.0,43612.0,0.034646
20-39,Control,Bomb's Ballet,Bomb,1.0,1.0,43612.0,2.3e-05
20-39,Control,Bomb's Ballet,Chuck,3005.0,3005.0,43612.0,0.068903
20-39,Control,Bomb's Ballet,Comet,1.0,1.0,43612.0,2.3e-05
20-39,Control,Bomb's Ballet,HC,14325.0,14325.0,43612.0,0.328465
20-39,Control,Bomb's Ballet,Red,126.0,126.0,43612.0,0.002889
20-39,Control,Bomb's Ballet,Shuffle,1.0,1.0,43612.0,2.3e-05
20-39,Control,Bomb's Ballet,Slingshot,1.0,1.0,43612.0,2.3e-05
20-39,Control,Bomb's Ballet,UL Bomb,2455.0,2455.0,43612.0,0.056292
20-39,Control,Bomb's Ballet,UL Chuck,17400.0,17400.0,43612.0,0.398973
20-39,Control,Bomb's Ballet,UL Red,23800.0,23800.0,43612.0,0.545721
20-39,Control,Bomb's Ballet,Unlimited Lives,36570.0,36570.0,43612.0,0.838531
20-39,Control,Chuck Challenge,Comet,1.0,1.0,43612.0,2.3e-05
20-39,Control,Chuck Challenge,HC,1200.0,1200.0,43612.0,0.027515
20-39,Control,Chuck Challenge,Shuffle,14.0,14.0,43612.0,0.000321
20-39,Control,Chuck Challenge,Slingshot,12.0,12.0,43612.0,0.000275
20-39,Control,Core,Bomb,11956.0,11956.0,43612.0,0.274145
20-39,Control,Core,Chuck,15504.0,15504.0,43612.0,0.355498
20-39,Control,Core,Comet,4277.0,4277.0,43612.0,0.098069
20-39,Control,Core,HC,1476945.0,1476945.0,43612.0,33.865565
20-39,Control,Core,Red,5944.0,5944.0,43612.0,0.136293
20-39,Control,Core,Shuffle,13265.0,13265.0,43612.0,0.304159
20-39,Control,Core,Slingshot,12191.0,12191.0,43612.0,0.279533
20-39,Control,Core,UL Red,15.0,15.0,43612.0,0.000344
20-39,Control,Core,Unlimited Lives,783615.0,783615.0,43612.0,17.967876
20-39,Control,Daily Gift,Comet,375.0,375.0,43612.0,0.008599
20-39,Control,Daily Gift,HC,769320.0,769320.0,43612.0,17.640099
20-39,Control,Daily Gift,Shuffle,3993.0,3993.0,43612.0,0.091557
20-39,Control,Daily Gift,Slingshot,6746.0,6746.0,43612.0,0.154682
20-39,Control,Daily Gift,UL Bomb,17400.0,17400.0,43612.0,0.398973
20-39,Control,Daily Gift,UL Chuck,42540.0,42540.0,43612.0,0.97542
20-39,Control,Daily Gift,UL Red,53160.0,53160.0,43612.0,1.218931
20-39,Control,Daily Gift,Unlimited Lives,595090.0,595090.0,43612.0,13.645098
20-39,Control,Daily Night Sky Prize,HC,15.0,15.0,43612.0,0.000344
20-39,Control,Daily Night Sky Prize,Red,1.0,1.0,43612.0,2.3e-05
20-39,Control,Flock Flurry,Bomb,4006.0,4006.0,43612.0,0.091855
20-39,Control,Flock Flurry,Chuck,4006.0,4006.0,43612.0,0.091855
20-39,Control,Flock Flurry,Red,4006.0,4006.0,43612.0,0.091855
20-39,Control,Flock Flurry,SPT,74680.0,74680.0,43612.0,1.712373
20-39,Control,Flock Flurry,Slingshot,4006.0,4006.0,43612.0,0.091855
20-39,Control,Flock Flurry,Unlimited Lives,1133780.0,1133780.0,43612.0,25.996973
20-39,Control,Hatchling Hideaway,Bomb,4418.0,4418.0,43612.0,0.101302
20-39,Control,Hatchling Hideaway,Chuck,5789.0,5789.0,43612.0,0.132739
20-39,Control,Hatchling Hideaway,Comet,1115.0,1115.0,43612.0,0.025566
20-39,Control,Hatchling Hideaway,HC,145045.0,145045.0,43612.0,3.325805
20-39,Control,Hatchling Hideaway,Red,7492.0,7492.0,43612.0,0.171788
20-39,Control,Hatchling Hideaway,Shuffle,4418.0,4418.0,43612.0,0.101302
20-39,Control,Hatchling Hideaway,Slingshot,2837.0,2837.0,43612.0,0.065051
20-39,Control,Hatchling Hideaway,UL Chuck,11150.0,11150.0,43612.0,0.255664
20-39,Control,Hatchling Hideaway,UL Red,28370.0,28370.0,43612.0,0.650509
20-39,Control,Hatchling Hideaway,Unlimited Lives,582060.0,582060.0,43612.0,13.346327
20-39,Control,Jigsaw,Bomb,27.0,27.0,43612.0,0.000619
20-39,Control,Jigsaw,Chuck,6844.0,6844.0,43612.0,0.156929
20-39,Control,Jigsaw,Comet,27.0,27.0,43612.0,0.000619
20-39,Control,Jigsaw,HC,135350.0,135350.0,43612.0,3.103504
20-39,Control,Jigsaw,Red,3652.0,3652.0,43612.0,0.083738
20-39,Control,Jigsaw,Slingshot,111.0,111.0,43612.0,0.002545
20-39,Control,Jigsaw,UL Bomb,36940.0,36940.0,43612.0,0.847015
20-39,Control,Jigsaw,UL Chuck,63850.0,63850.0,43612.0,1.464047
20-39,Control,Jigsaw,UL Red,88420.0,88420.0,43612.0,2.027424
20-39,Control,Jigsaw,Unlimited Lives,319740.0,319740.0,43612.0,7.331468
20-39,Control,Kite Festival,Bomb,75.0,75.0,43612.0,0.00172
20-39,Control,Kite Festival,Chuck,51.0,51.0,43612.0,0.001169
20-39,Control,Kite Festival,Comet,48.0,48.0,43612.0,0.001101
20-39,Control,Kite Festival,HC,34825.0,34825.0,43612.0,0.798519
20-39,Control,Kite Festival,Red,51.0,51.0,43612.0,0.001169
20-39,Control,Kite Festival,SPT,96505.0,96505.0,43612.0,2.212808
20-39,Control,Kite Festival,Shuffle,199.0,199.0,43612.0,0.004563
20-39,Control,Kite Festival,Slingshot,206.0,206.0,43612.0,0.004723
20-39,Control,Kite Festival,Unlimited Lives,149875.0,149875.0,43612.0,3.436554
20-39,Control,Level Race,HC,475.0,475.0,43612.0,0.010891
20-39,Control,Level Race,SPT,930.0,930.0,43612.0,0.021324
20-39,Control,Level Race,Shuffle,4.0,4.0,43612.0,9.2e-05
20-39,Control,Level Race,Slingshot,2.0,2.0,43612.0,4.6e-05
20-39,Control,Level Race,Unlimited Lives,150.0,150.0,43612.0,0.003439
20-39,Control,Other,Bomb,8255.0,10019.0,43612.0,0.189283
20-39,Control,Other,Chuck,8325.0,9666.0,43612.0,0.190888
20-39,Control,Other,Comet,1152.0,1977.0,43612.0,0.026415
20-39,Control,Other,HC,360997.0,788107.0,43612.0,8.27747
20-39,Control,Other,Red,8642.0,10184.0,43612.0,0.198156
20-39,Control,Other,SPT,296410.0,296410.0,43612.0,6.796524
20-39,Control,Other,Shuffle,4556.0,5656.0,43612.0,0.104467
20-39,Control,Other,Slingshot,3395.0,4612.0,43612.0,0.077846
20-39,Control,Other,UL Bomb,15.0,20975.0,43612.0,0.000344
20-39,Control,Other,UL Chuck,40.0,21000.0,43612.0,0.000917
20-39,Control,Other,UL Red,70.0,21030.0,43612.0,0.001605
20-39,Control,Other,Unlimited Lives,71403.0,100883.0,43612.0,1.637233
20-39,Control,Photoshoot,Chuck,67.0,67.0,43612.0,0.001536
20-39,Control,Photoshoot,HC,1050.0,1050.0,43612.0,0.024076
20-39,Control,Photoshoot,Red,19.0,19.0,43612.0,0.000436
20-39,Control,Photoshoot,UL Chuck,60.0,60.0,43612.0,0.001376
20-39,Control,Photoshoot,UL Red,495.0,495.0,43612.0,0.01135
20-39,Control,Photoshoot,Unlimited Lives,2790.0,2790.0,43612.0,0.063973
20-39,Control,Rainbow Maker,Bomb,1.0,1.0,43612.0,2.3e-05
20-39,Control,Rainbow Maker,Comet,2.0,2.0,43612.0,4.6e-05
20-39,Control,Rainbow Maker,HC,102.0,102.0,43612.0,0.002339
20-39,Control,Rainbow Maker,SPT,588.0,588.0,43612.0,0.013483
20-39,Control,Rainbow Maker,Shuffle,4.0,4.0,43612.0,9.2e-05
20-39,Control,Rainbow Maker,Slingshot,4.0,4.0,43612.0,9.2e-05
20-39,Control,Rainbow Maker,UL Red,20.0,20.0,43612.0,0.000459
20-39,Control,Rainbow Maker,Unlimited Lives,60.0,60.0,43612.0,0.001376
20-39,Control,Red Challenge,Comet,270.0,270.0,43612.0,0.006191
20-39,Control,Red Challenge,HC,114800.0,114800.0,43612.0,2.632303
20-39,Control,Red Challenge,Shuffle,1651.0,1651.0,43612.0,0.037857
20-39,Control,Red Challenge,Slingshot,1322.0,1322.0,43612.0,0.030313
20-39,Control,River Rush,Bomb,741.0,741.0,43612.0,0.016991
20-39,Control,River Rush,Chuck,500.0,500.0,43612.0,0.011465
20-39,Control,River Rush,Comet,1434.0,1434.0,43612.0,0.032881
20-39,Control,River Rush,HC,106140.0,106140.0,43612.0,2.433734
20-39,Control,River Rush,Red,1117.0,1117.0,43612.0,0.025612
20-39,Control,River Rush,SPT,25170.0,25170.0,43612.0,0.577135
20-39,Control,River Rush,Shuffle,1545.0,1545.0,43612.0,0.035426
20-39,Control,River Rush,Slingshot,980.0,980.0,43612.0,0.022471
20-39,Control,River Rush,UL Bomb,12275.0,12275.0,43612.0,0.281459
20-39,Control,River Rush,UL Chuck,14710.0,14710.0,43612.0,0.337292
20-39,Control,River Rush,UL Red,16215.0,16215.0,43612.0,0.371801
20-39,Control,River Rush,Unlimited Lives,14770.0,14770.0,43612.0,0.338668
20-39,Control,Saga,Bomb,9159.0,9159.0,43612.0,0.210011
20-39,Control,Saga,Chuck,45983.0,45983.0,43612.0,1.054366
20-39,Control,Saga,Comet,9148.0,9148.0,43612.0,0.209759
20-39,Control,Saga,HC,2257170.0,2257170.0,43612.0,51.755709
20-39,Control,Saga,Red,46747.0,46747.0,43612.0,1.071884
20-39,Control,Saga,Shuffle,20793.0,20793.0,43612.0,0.476772
20-39,Control,Saga,Slingshot,20356.0,20356.0,43612.0,0.466752
20-39,Control,Saga,Unlimited Lives,1562400.0,1562400.0,43612.0,35.825002
20-39,Control,Season Pass (Free),Bomb,3160.0,3160.0,43612.0,0.072457
20-39,Control,Season Pass (Free),Chuck,10356.0,10356.0,43612.0,0.237458
20-39,Control,Season Pass (Free),Comet,292.0,292.0,43612.0,0.006695
20-39,Control,Season Pass (Free),HC,238130.0,238170.0,43612.0,5.460194
20-39,Control,Season Pass (Free),Red,8127.0,8127.0,43612.0,0.186348
20-39,Control,Season Pass (Free),Shuffle,3364.0,3364.0,43612.0,0.077135
20-39,Control,Season Pass (Free),Slingshot,1594.0,1594.0,43612.0,0.03655
20-39,Control,Season Pass (Free),UL Bomb,2985.0,2985.0,43612.0,0.068444
20-39,Control,Season Pass (Free),UL Chuck,47715.0,47715.0,43612.0,1.09408
20-39,Control,Season Pass (Free),UL Red,77305.0,77305.0,43612.0,1.772563
20-39,Control,Season Pass (Free),Unlimited Lives,360640.0,360640.0,43612.0,8.269284
20-39,Control,Target Day,Bomb,5.0,5.0,43612.0,0.000115
20-39,Control,Target Day,Chuck,5.0,5.0,43612.0,0.000115
20-39,Control,Target Day,Comet,327.0,327.0,43612.0,0.007498
20-39,Control,Target Day,HC,126625.0,126625.0,43612.0,2.903444
20-39,Control,Target Day,Red,7.0,7.0,43612.0,0.000161
20-39,Control,Target Day,SPT,30.0,30.0,43612.0,0.000688
20-39,Control,Target Day,Shuffle,1670.0,1670.0,43612.0,0.038292
20-39,Control,Target Day,Slingshot,1321.0,1321.0,43612.0,0.03029
20-39,Control,Target Day,Unlimited Lives,70800.0,70800.0,43612.0,1.623406
20-39,Control,Team Event,Comet,1071.0,1071.0,43612.0,0.024557
20-39,Control,Team Event,HC,314030.0,314030.0,43612.0,7.200541
20-39,Control,Team Event,Shuffle,1493.0,1493.0,43612.0,0.034234
20-39,Control,Team Event,Slingshot,3479.0,3479.0,43612.0,0.079772
20-39,Control,Team Race,Bomb,3354.0,3354.0,43612.0,0.076905
20-39,Control,Team Race,Chuck,1541.0,1541.0,43612.0,0.035334
20-39,Control,Team Race,Comet,7837.0,7837.0,43612.0,0.179698
20-39,Control,Team Race,HC,784225.0,784225.0,43612.0,17.981863
20-39,Control,Team Race,Red,785.0,785.0,43612.0,0.018
20-39,Control,Team Race,SPT,364770.0,364770.0,43612.0,8.363982
20-39,Control,Team Race,Shuffle,6048.0,6048.0,43612.0,0.138677
20-39,Control,Team Race,Slingshot,4148.0,4148.0,43612.0,0.095111
20-39,Control,Team Race,UL Chuck,15.0,15.0,43612.0,0.000344
20-39,Control,Team Race,Unlimited Lives,50015.0,50015.0,43612.0,1.146817
20-39,Variant,Ads,Bomb,6.0,6.0,44216.0,0.000136
20-39,Variant,Ads,Chuck,15.0,15.0,44216.0,0.000339
20-39,Variant,Ads,Comet,1271.0,1271.0,44216.0,0.028745
20-39,Variant,Ads,HC,127830.0,127830.0,44216.0,2.891035
20-39,Variant,Ads,Red,42.0,42.0,44216.0,0.00095
20-39,Variant,Ads,Shuffle,2808.0,2808.0,44216.0,0.063506
20-39,Variant,Ads,Slingshot,2694.0,2694.0,44216.0,0.060928
20-39,Variant,Ads,Unlimited Lives,43415.0,43415.0,44216.0,0.981884
20-39,Variant,Bomb Challenge,Bomb,4.0,4.0,44216.0,9e-05
20-39,Variant,Bomb Challenge,Comet,2.0,2.0,44216.0,4.5e-05
20-39,Variant,Bomb Challenge,HC,1875.0,1875.0,44216.0,0.042405
20-39,Variant,Bomb Challenge,Shuffle,38.0,38.0,44216.0,0.000859
20-39,Variant,Bomb Challenge,Slingshot,51.0,51.0,44216.0,0.001153
20-39,Variant,Bomb's Ballet,Bomb,6.0,6.0,44216.0,0.000136
20-39,Variant,Bomb's Ballet,Chuck,1908.0,1908.0,44216.0,0.043152
20-39,Variant,Bomb's Ballet,Comet,6.0,6.0,44216.0,0.000136
20-39,Variant,Bomb's Ballet,HC,42675.0,42675.0,44216.0,0.965148
20-39,Variant,Bomb's Ballet,Red,988.0,988.0,44216.0,0.022345
20-39,Variant,Bomb's Ballet,Shuffle,6.0,6.0,44216.0,0.000136
20-39,Variant,Bomb's Ballet,Slingshot,18.0,18.0,44216.0,0.000407
