event_name,payer_flag,segment,seg_rank,n_instances,active_window_player_instances,avg_participants_per_instance,participation_rate,opt_in_rate,recipient_rate,position_p25,position_p50,position_p75,avg_final_token_balance,avg_bots,final_balance_p25,final_balance_p50,final_balance_p75
Flock Flurry,NONPAYER,0-9,1,23,224041,789.0,0.081,0.0812,0.0,2,3,4,923.3,0.0,46.773085749136264,291.5060502277062,989.1027488191864
Flock Flurry,PAYER,0-9,1,23,36139,312.0,0.1983,0.1981,0.0,2,3,4,984.7,0.0,31.855991646418218,272.15439033716154,913.8195531650156
Flock Flurry,NONPAYER,10-19,2,23,166179,1168.0,0.1616,0.1604,0.0,2,3,4,1975.0,0.0,185.78921841442846,760.2886433753467,2391.350140931512
Flock Flurry,PAYER,10-19,2,23,24006,278.0,0.2662,0.2651,0.0,1,3,4,2524.2,0.0,174.64139059470088,816.162087223008,3173.167334746551
Flock Flurry,NONPAYER,20-39,3,23,136990,1304.0,0.219,0.2175,0.0,1,3,4,2934.0,1.0,355.32664399715713,1268.4509523077074,3754.373796571094
Flock Flurry,PAYER,20-39,3,23,17960,232.0,0.2967,0.2949,0.0,1,2,4,4376.2,0.0,445.2434895833333,1937.338855094806,6051.405206144758
Flock Flurry,NONPAYER,40-99,4,23,79675,984.0,0.2839,0.2813,0.0,1,2,4,3984.5,1.0,672.4326987200848,2006.0196172016745,5348.280104930061
Flock Flurry,PAYER,40-99,4,23,12180,184.0,0.3482,0.3461,0.0,1,2,3,5532.0,0.0,758.6592873303167,2896.3064693427646,7836.717395104894
Flock Flurry,NONPAYER,100+,5,23,11744,158.0,0.3101,0.3079,0.0,1,2,3,6061.7,1.0,1509.4522747546832,3638.915259776736,8662.396948534559
Flock Flurry,PAYER,100+,5,23,2268,35.0,0.3532,0.3505,0.0,1,2,3,7094.3,0.0,1604.7024446142093,4539.60134366925,10214.810416666667
Hatchling Hideaway,NONPAYER,0-9,1,6,100441,3607.0,0.2155,0.4685,0.0,,,,19.6,,6.22527136040187,13.110841140170187,27.91957995522059
Hatchling Hideaway,PAYER,0-9,1,6,12330,885.0,0.4307,0.4976,0.0,,,,24.0,,8.386776282376841,17.893315266486,34.47192028985507
Hatchling Hideaway,NONPAYER,10-19,2,6,64527,4125.0,0.3836,0.4807,0.0,,,,47.4,,17.672764608488897,38.273175899161835,67.89383646245061
Hatchling Hideaway,PAYER,10-19,2,6,7881,635.0,0.4833,0.4998,0.0,,,,60.4,,26.860007482735615,53.466266107025284,83.79399469711545
Hatchling Hideaway,NONPAYER,20-39,3,6,50845,3965.0,0.4679,0.4879,0.0,,,,84.2,,32.12492961245371,74.0452361023581,132.78995207520032
Hatchling Hideaway,PAYER,20-39,3,6,5997,481.0,0.4809,0.4909,0.0,,,,104.9,,53.661402976009725,106.07368636270704,147.5269392425162
Hatchling Hideaway,NONPAYER,40-99,4,6,27837,2199.0,0.474,0.4829,0.0,,,,134.3,,75.93403603915564,145.81730280510942,164.69465399898453
