segment,payer_flag,resource,action,spend_context,spend_events,spender_days,amount_spent,amount_spent_free,amount_spent_paid,spend_per_event,amount_per_active_player_day,pct_of_resource_spent
10-19,NONPAYER,HC,purchase_powerup,level_powerup,415,372,79350.0,79350.0,0.0,191.2048,0.7524,1.04
10-19,NONPAYER,HC,purchase_pre_level_booster,level_pre_level_booster,71,67,10450.0,10450.0,0.0,147.1831,0.0991,0.14
10-19,NONPAYER,HC,purchase_pre_level_booster,map_pre_level_booster,1649,782,243200.0,112095.0,131105.0,147.4833,2.3062,3.18
10-19,NONPAYER,HC,team_created,(none),42,42,6300.0,6150.0,150.0,150.0,0.0597,0.08
10-19,PAYER,HC,extra_moves,level_movesplus10,494,448,49400.0,34997.0,14403.0,100.0,2.9927,2.12
10-19,PAYER,HC,extra_moves,level_movesplus15,470,438,47000.0,34521.0,12479.0,100.0,2.8473,2.02
10-19,PAYER,HC,extra_moves,level_movesplus20,374,351,37400.0,28233.0,9167.0,100.0,2.2657,1.61
10-19,PAYER,HC,extra_moves,level_movesplus25,270,260,27000.0,20220.0,6780.0,100.0,1.6357,1.16
10-19,PAYER,HC,extra_moves,level_movesplus30,246,237,24600.0,18178.0,6422.0,100.0,1.4903,1.06
10-19,PAYER,HC,extra_moves,level_movesplus35,190,187,19000.0,14925.0,4075.0,100.0,1.151,0.82
10-19,PAYER,HC,extra_moves,level_movesplus40,165,161,16500.0,11793.0,4707.0,100.0,0.9996,0.71
10-19,PAYER,HC,extra_moves,level_movesplus45,158,151,15800.0,11037.0,4763.0,100.0,0.9572,0.68
10-19,PAYER,HC,extra_moves,level_movesplus5,19207,8705,1920700.0,1340143.0,580557.0,100.0,116.3567,82.6
10-19,PAYER,HC,extra_moves,level_movesplus50,1083,959,108300.0,76271.0,32029.0,100.0,6.5609,4.66
10-19,PAYER,HC,purchase_lives,level_lives,498,392,24900.0,8944.0,15956.0,50.0,1.5085,1.07
10-19,PAYER,HC,purchase_lives,map_lives,295,250,14750.0,6678.0,8072.0,50.0,0.8936,0.63
10-19,PAYER,HC,purchase_powerup,level_powerup,87,71,15900.0,10613.0,5287.0,182.7586,0.9632,0.68
10-19,PAYER,HC,purchase_pre_level_booster,map_pre_level_booster,23,9,4050.0,1895.0,2155.0,176.087,0.2454,0.17
20-39,NONPAYER,HC,extra_moves,level_movesplus10,1908,1796,190800.0,190800.0,0.0,100.0,2.1116,1.64
20-39,NONPAYER,HC,extra_moves,level_movesplus15,1395,1332,139500.0,139500.0,0.0,100.0,1.5439,1.2
20-39,NONPAYER,HC,extra_moves,level_movesplus20,1076,1039,107600.0,107600.0,0.0,100.0,1.1908,0.92
20-39,NONPAYER,HC,extra_moves,level_movesplus25,700,685,70000.0,70000.0,0.0,100.0,0.7747,0.6
20-39,NONPAYER,HC,extra_moves,level_movesplus30,493,479,49300.0,49300.0,0.0,100.0,0.5456,0.42
20-39,NONPAYER,HC,extra_moves,level_movesplus35,388,383,38800.0,38800.0,0.0,100.0,0.4294,0.33
20-39,NONPAYER,HC,extra_moves,level_movesplus40,301,300,30100.0,30100.0,0.0,100.0,0.3331,0.26
20-39,NONPAYER,HC,extra_moves,level_movesplus45,257,254,25700.0,25700.0,0.0,100.0,0.2844,0.22
20-39,NONPAYER,HC,extra_moves,level_movesplus5,102167,49590,10216160.0,10214415.0,1745.0,99.9947,113.0657,87.73
20-39,NONPAYER,HC,extra_moves,level_movesplus50,1217,1149,121700.0,121700.0,0.0,100.0,1.3469,1.05
20-39,NONPAYER,HC,level_movesplus5,level_movesplus5,20,5,1190.0,1190.0,0.0,59.5,0.0132,0.01
20-39,NONPAYER,HC,purchase_lives,level_lives,3294,2326,164700.0,118830.0,45870.0,50.0,1.8228,1.41
