engagement_segment,payer_flag,resource,unit,category,resource_earners,recipients,recipient_rate_pct,pct_of_resource_pool,mean_share_all_earners_pct,category_amount,resource_pool_amount,amount_per_earner,amount_per_recipient,category_amount_uncorrected,resource_pool_amount_uncorrected,amount_per_earner_uncorrected
B. 1-9,NONPAYER,Red,count,Bomb's Ballet,25439,34,0.13,0.03,0.04,36.0,132841.0,0.0014,1.0588,36.0,132841.0,0.0014
B. 1-9,NONPAYER,Red,count,Photoshoot,25439,11,0.04,0.01,0.01,11.0,132841.0,0.0004,1.0,11.0,132841.0,0.0004
B. 1-9,NONPAYER,Red,count,Red Challenge,25439,1,0.0,0.0,0.0,1.0,132841.0,0.0,1.0,1.0,132841.0,0.0
B. 1-9,NONPAYER,Red,count,River Rush,25439,3,0.01,0.0,0.0,3.0,132841.0,0.0001,1.0,3.0,132841.0,0.0001
B. 1-9,NONPAYER,SPT,count,Core,27908,27425,98.27,77.0,79.14,6845809.0,8890861.95,245.2992,249.6193,6845809.0,8961229.0,245.2992
B. 1-9,NONPAYER,SPT,count,Rainbow Maker,27908,13832,49.56,12.85,8.74,1142607.95,8890861.95,40.942,82.6061,1212975.0,8961229.0,43.4633
B. 1-9,NONPAYER,SPT,count,Other,27908,10123,36.27,6.42,8.41,570530.0,8890861.95,20.4432,56.3598,570530.0,8961229.0,20.4432
B. 1-9,NONPAYER,SPT,count,Flash Race,27908,3524,12.63,2.58,1.66,229005.0,8890861.95,8.2057,64.9844,229005.0,8961229.0,8.2057
B. 1-9,NONPAYER,SPT,count,Kite Festival,27908,747,2.68,0.61,0.6,54350.0,8890861.95,1.9475,72.7577,54350.0,8961229.0,1.9475
B. 1-9,NONPAYER,SPT,count,Flock Flurry,27908,1520,5.45,0.41,0.42,36060.0,8890861.95,1.2921,23.7237,36060.0,8961229.0,1.2921
B. 1-9,NONPAYER,SPT,count,Season Pass (Free),27908,649,2.33,0.14,1.03,12360.0,8890861.95,0.4429,19.0447,12360.0,8961229.0,0.4429
B. 1-9,NONPAYER,SPT,count,Level Race,27908,1,0.0,0.0,0.0,50.0,8890861.95,0.0018,50.0,50.0,8961229.0,0.0018
B. 1-9,NONPAYER,SPT,count,Target Day,27908,6,0.02,0.0,0.0,60.0,8890861.95,0.0021,10.0,60.0,8961229.0,0.0021
B. 1-9,NONPAYER,SPT,count,River Rush,27908,1,0.0,0.0,0.0,30.0,8890861.95,0.0011,30.0,30.0,8961229.0,0.0011
B. 1-9,NONPAYER,SPTx2,minutes,Rainbow Maker,8431,8399,99.62,99.51,99.6,112645.0,113195.0,13.3608,13.4117,112645.0,113195.0,13.3608
B. 1-9,NONPAYER,SPTx2,minutes,Daily Gift,8431,33,0.39,0.48,0.38,540.0,113195.0,0.064,16.3636,540.0,113195.0,0.064
B. 1-9,NONPAYER,SPTx2,minutes,River Rush,8431,1,0.01,0.01,0.01,10.0,113195.0,0.0012,10.0,10.0,113195.0,0.0012
B. 1-9,NONPAYER,Shuffle,count,Daily Gift,17366,8166,47.02,21.0,20.35,12230.0,58238.0,0.7042,1.4977,12230.0,58238.0,0.7042
B. 1-9,NONPAYER,Shuffle,count,Team Race,17366,5201,29.95,12.67,14.5,7377.0,58238.0,0.4248,1.4184,7377.0,58238.0,0.4248
B. 1-9,NONPAYER,Shuffle,count,Saga,17366,6637,38.22,12.39,15.31,7218.0,58238.0,0.4156,1.0875,7218.0,58238.0,0.4156
B. 1-9,NONPAYER,Shuffle,count,Ads,17366,3119,17.96,12.0,7.6,6989.0,58238.0,0.4025,2.2408,6989.0,58238.0,0.4025
B. 1-9,NONPAYER,Shuffle,count,Rainbow Maker,17366,4735,27.27,11.44,8.75,6663.0,58238.0,0.3837,1.4072,6663.0,58238.0,0.3837
B. 1-9,NONPAYER,Shuffle,count,Core,17366,4498,25.9,8.21,11.58,4784.0,58238.0,0.2755,1.0636,4784.0,58238.0,0.2755
B. 1-9,NONPAYER,Shuffle,count,Team Event,17366,1361,7.84,7.52,4.57,4378.0,58238.0,0.2521,3.2168,4378.0,58238.0,0.2521
B. 1-9,NONPAYER,Shuffle,count,Season Pass (Free),17366,3660,21.08,6.94,6.89,4042.0,58238.0,0.2328,1.1044,4042.0,58238.0,0.2328
B. 1-9,NONPAYER,Shuffle,count,Other,17366,1045,6.02,2.02,2.54,1175.0,58238.0,0.0677,1.1244,1175.0,58238.0,0.0677
B. 1-9,NONPAYER,Shuffle,count,Flash Race,17366,942,5.42,1.85,1.94,1080.0,58238.0,0.0622,1.1465,1080.0,58238.0,0.0622
B. 1-9,NONPAYER,Shuffle,count,Bomb Challenge,17366,610,3.51,1.13,1.49,658.0,58238.0,0.0379,1.0787,658.0,58238.0,0.0379
B. 1-9,NONPAYER,Shuffle,count,Red Challenge,17366,535,3.08,0.97,1.56,565.0,58238.0,0.0325,1.0561,565.0,58238.0,0.0325
B. 1-9,NONPAYER,Shuffle,count,Chuck Challenge,17366,447,2.57,0.81,1.25,472.0,58238.0,0.0272,1.0559,472.0,58238.0,0.0272
B. 1-9,NONPAYER,Shuffle,count,Target Day,17366,309,1.78,0.58,1.0,338.0,58238.0,0.0195,1.0939,338.0,58238.0,0.0195
B. 1-9,NONPAYER,Shuffle,count,Hatchling Hideaway,17366,207,1.19,0.37,0.51,213.0,58238.0,0.0123,1.029,213.0,58238.0,0.0123
B. 1-9,NONPAYER,Shuffle,count,Kite Festival,17366,41,0.24,0.07,0.1,41.0,58238.0,0.0024,1.0,41.0,58238.0,0.0024
B. 1-9,NONPAYER,Shuffle,count,River Rush,17366,13,0.07,0.02,0.06,13.0,58238.0,0.0007,1.0,13.0,58238.0,0.0007
B. 1-9,NONPAYER,Shuffle,count,Photoshoot,17366,1,0.01,0.0,0.0,1.0,58238.0,0.0001,1.0,1.0,58238.0,0.0001
B. 1-9,NONPAYER,Shuffle,count,Bomb's Ballet,17366,1,0.01,0.0,0.0,1.0,58238.0,0.0001,1.0,1.0,58238.0,0.0001
B. 1-9,NONPAYER,Slingshot,count,Rainbow Maker,20414,11024,54.0,29.14,24.23,30781.0,105628.0,1.5078,2.7922,30781.0,105628.0,1.5078
B. 1-9,NONPAYER,Slingshot,count,Daily Gift,20414,10497,51.42,18.05,17.98,19062.0,105628.0,0.9338,1.8159,19062.0,105628.0,0.9338
B. 1-9,NONPAYER,Slingshot,count,Daily Night Sky Prize,20414,6523,31.95,9.98,7.49,10537.0,105628.0,0.5162,1.6154,10537.0,105628.0,0.5162
B. 1-9,NONPAYER,Slingshot,count,Team Event,20414,4196,20.55,7.83,8.04,8267.0,105628.0,0.405,1.9702,8267.0,105628.0,0.405
B. 1-9,NONPAYER,Slingshot,count,Saga,20414,6595,32.31,6.77,8.55,7149.0,105628.0,0.3502,1.084,7149.0,105628.0,0.3502
B. 1-9,NONPAYER,Slingshot,count,Ads,20414,3172,15.54,6.43,4.54,6789.0,105628.0,0.3326,2.1403,6789.0,105628.0,0.3326
B. 1-9,NONPAYER,Slingshot,count,Team Race,20414,4162,20.39,5.27,6.62,5565.0,105628.0,0.2726,1.3371,5565.0,105628.0,0.2726
B. 1-9,NONPAYER,Slingshot,count,Core,20414,2900,14.21,2.86,4.12,3019.0,105628.0,0.1479,1.041,3019.0,105628.0,0.1479
B. 1-9,NONPAYER,Slingshot,count,Red Challenge,20414,2240,10.97,2.32,3.24,2447.0,105628.0,0.1199,1.0924,2447.0,105628.0,0.1199
B. 1-9,NONPAYER,Slingshot,count,Chuck Challenge,20414,2135,10.46,2.19,2.85,2317.0,105628.0,0.1135,1.0852,2317.0,105628.0,0.1135
B. 1-9,NONPAYER,Slingshot,count,Bomb Challenge,20414,2057,10.08,2.15,3.04,2270.0,105628.0,0.1112,1.1035,2270.0,105628.0,0.1112
B. 1-9,NONPAYER,Slingshot,count,Flock Flurry,20414,1867,9.15,2.11,2.21,2225.0,105628.0,0.109,1.1918,2225.0,105628.0,0.109
B. 1-9,NONPAYER,Slingshot,count,Other,20414,1686,8.26,1.72,2.79,1816.0,105628.0,0.089,1.0771,1816.0,105628.0,0.089
B. 1-9,NONPAYER,Slingshot,count,Target Day,20414,1431,7.01,1.46,2.26,1546.0,105628.0,0.0757,1.0804,1546.0,105628.0,0.0757
B. 1-9,NONPAYER,Slingshot,count,Flash Race,20414,895,4.38,0.92,0.9,975.0,105628.0,0.0478,1.0894,975.0,105628.0,0.0478
B. 1-9,NONPAYER,Slingshot,count,Season Pass (Free),20414,604,2.96,0.62,0.81,654.0,105628.0,0.032,1.0828,654.0,105628.0,0.032
B. 1-9,NONPAYER,Slingshot,count,Kite Festival,20414,128,0.63,0.13,0.21,134.0,105628.0,0.0066,1.0469,134.0,105628.0,0.0066
B. 1-9,NONPAYER,Slingshot,count,Hatchling Hideaway,20414,54,0.26,0.05,0.09,58.0,105628.0,0.0028,1.0741,58.0,105628.0,0.0028
B. 1-9,NONPAYER,Slingshot,count,Jigsaw,20414,11,0.05,0.01,0.02,12.0,105628.0,0.0006,1.0909,12.0,105628.0,0.0006
B. 1-9,NONPAYER,Slingshot,count,Bomb's Ballet,20414,1,0.0,0.0,0.0,1.0,105628.0,0.0,1.0,1.0,105628.0,0.0
B. 1-9,NONPAYER,Slingshot,count,River Rush,20414,4,0.02,0.0,0.02,4.0,105628.0,0.0002,1.0,4.0,105628.0,0.0002
B. 1-9,NONPAYER,UL Bomb,minutes,Daily Gift,1898,1675,88.25,91.69,88.02,51180.0,55820.0,26.9652,30.5552,51180.0,55820.0,26.9652
B. 1-9,NONPAYER,UL Bomb,minutes,Other,1898,79,4.16,5.1,4.06,2845.0,55820.0,1.4989,36.0127,2845.0,55820.0,1.4989
B. 1-9,NONPAYER,UL Bomb,minutes,Jigsaw,1898,91,4.79,1.89,4.66,1055.0,55820.0,0.5558,11.5934,1055.0,55820.0,0.5558
B. 1-9,NONPAYER,UL Bomb,minutes,Bomb's Ballet,1898,44,2.32,0.84,2.05,470.0,55820.0,0.2476,10.6818,470.0,55820.0,0.2476
B. 1-9,NONPAYER,UL Bomb,minutes,Season Pass (Free),1898,20,1.05,0.39,1.05,220.0,55820.0,0.1159,11.0,220.0,55820.0,0.1159
B. 1-9,NONPAYER,UL Bomb,minutes,Photoshoot,1898,2,0.11,0.05,0.11,30.0,55820.0,0.0158,15.0,30.0,55820.0,0.0158
B. 1-9,NONPAYER,UL Bomb,minutes,River Rush,1898,1,0.05,0.04,0.05,20.0,55820.0,0.0105,20.0,20.0,55820.0,0.0105
B. 1-9,NONPAYER,UL Chuck,minutes,Daily Gift,8356,1660,19.87,47.09,18.49,101100.0,214680.0,12.0991,60.9036,101100.0,214680.0,12.0991
B. 1-9,NONPAYER,UL Chuck,minutes,Season Pass (Free),8356,4730,56.61,35.66,52.86,76560.0,214680.0,9.1623,16.186,76560.0,214680.0,9.1623
B. 1-9,NONPAYER,UL Chuck,minutes,Jigsaw,8356,1806,21.61,9.74,16.57,20910.0,214680.0,2.5024,11.5781,20910.0,214680.0,2.5024
B. 1-9,NONPAYER,UL Chuck,minutes,Bomb's Ballet,8356,1255,15.02,5.94,10.84,12755.0,214680.0,1.5264,10.1633,12755.0,214680.0,1.5264
B. 1-9,NONPAYER,UL Chuck,minutes,Other,8356,78,0.93,1.35,0.82,2890.0,214680.0,0.3459,37.0513,2890.0,214680.0,0.3459
B. 1-9,NONPAYER,UL Chuck,minutes,Hatchling Hideaway,8356,32,0.38,0.17,0.34,360.0,214680.0,0.0431,11.25,360.0,214680.0,0.0431
B. 1-9,NONPAYER,UL Chuck,minutes,Photoshoot,8356,6,0.07,0.04,0.07,90.0,214680.0,0.0108,15.0,90.0,214680.0,0.0108
B. 1-9,NONPAYER,UL Chuck,minutes,Level Race,8356,1,0.01,0.01,0.01,15.0,214680.0,0.0018,15.0,15.0,214680.0,0.0018
B. 1-9,NONPAYER,UL Red,minutes,Season Pass (Free),13538,9006,66.52,37.33,53.53,118510.0,317505.0,8.7539,13.159,118510.0,317505.0,8.7539
B. 1-9,NONPAYER,UL Red,minutes,Daily Gift,13538,1692,12.5,32.41,10.24,102900.0,317505.0,7.6008,60.8156,102900.0,317505.0,7.6008
B. 1-9,NONPAYER,UL Red,minutes,Jigsaw,13538,3908,28.87,14.31,18.2,45440.0,317505.0,3.3565,11.6274,45440.0,317505.0,3.3565
B. 1-9,NONPAYER,UL Red,minutes,Bomb's Ballet,13538,2641,19.51,8.45,11.26,26830.0,317505.0,1.9818,10.159,26830.0,317505.0,1.9818
B. 1-9,NONPAYER,UL Red,minutes,Rainbow Maker,13538,1486,10.98,6.11,5.64,19385.0,317505.0,1.4319,13.0451,19385.0,317505.0,1.4319
B. 1-9,NONPAYER,UL Red,minutes,Other,13538,78,0.58,0.91,0.48,2890.0,317505.0,0.2135,37.0513,2890.0,317505.0,0.2135
B. 1-9,NONPAYER,UL Red,minutes,Hatchling Hideaway,13538,103,0.76,0.34,0.49,1070.0,317505.0,0.079,10.3883,1070.0,317505.0,0.079
B. 1-9,NONPAYER,UL Red,minutes,Photoshoot,13538,29,0.21,0.14,0.15,435.0,317505.0,0.0321,15.0,435.0,317505.0,0.0321
B. 1-9,NONPAYER,UL Red,minutes,FlowerCoop,13538,3,0.02,0.01,0.01,30.0,317505.0,0.0022,10.0,30.0,317505.0,0.0022
B. 1-9,NONPAYER,UL Red,minutes,Saga,13538,1,0.01,0.0,0.0,15.0,317505.0,0.0011,15.0,15.0,317505.0,0.0011
B. 1-9,NONPAYER,Unlimited Lives,minutes,Saga,28789,22298,77.45,16.86,17.65,1866035.0,11070330.0,64.8176,83.6862,1866035.0,11070330.0,64.8176
B. 1-9,NONPAYER,Unlimited Lives,minutes,Flock Flurry,28789,12248,42.54,16.61,12.74,1838380.0,11070330.0,63.857,150.0963,1838380.0,11070330.0,63.857
B. 1-9,NONPAYER,Unlimited Lives,minutes,Daily Gift,28789,21103,73.3,16.56,16.9,1832885.0,11070330.0,63.6662,86.8542,1832885.0,11070330.0,63.6662
B. 1-9,NONPAYER,Unlimited Lives,minutes,Daily Night Sky Prize,28789,20843,72.4,13.98,13.45,1547690.0,11070330.0,53.7598,74.2547,1547690.0,11070330.0,53.7598
B. 1-9,NONPAYER,Unlimited Lives,minutes,Hatchling Hideaway,28789,11763,40.86,10.27,9.31,1136940.0,11070330.0,39.4922,96.6539,1136940.0,11070330.0,39.4922
B. 1-9,NONPAYER,Unlimited Lives,minutes,Target Day,28789,14096,48.96,8.54,9.01,944870.0,11070330.0,32.8205,67.0311,944870.0,11070330.0,32.8205
B. 1-9,NONPAYER,Unlimited Lives,minutes,Rainbow Maker,28789,15339,53.28,5.37,5.01,594730.0,11070330.0,20.6582,38.7724,594730.0,11070330.0,20.6582
B. 1-9,NONPAYER,Unlimited Lives,minutes,Season Pass (Free),28789,10222,35.51,4.93,7.95,546265.0,11070330.0,18.9748,53.4401,546265.0,11070330.0,18.9748
B. 1-9,NONPAYER,Unlimited Lives,minutes,Core,28789,5653,19.64,2.4,2.72,265710.0,11070330.0,9.2296,47.0034,265710.0,11070330.0,9.2296
B. 1-9,NONPAYER,Unlimited Lives,minutes,Kite Festival,28789,4807,16.7,1.83,1.73,202625.0,11070330.0,7.0383,42.1521,202625.0,11070330.0,7.0383
B. 1-9,NONPAYER,Unlimited Lives,minutes,Other,28789,2945,10.23,1.1,2.03,122310.0,11070330.0,4.2485,41.5314,122310.0,11070330.0,4.2485
B. 1-9,NONPAYER,Unlimited Lives,minutes,Ads,28789,3601,12.51,0.94,0.64,103925.0,11070330.0,3.6099,28.86,103925.0,11070330.0,3.6099
B. 1-9,NONPAYER,Unlimited Lives,minutes,Jigsaw,28789,635,2.21,0.23,0.36,25470.0,11070330.0,0.8847,40.1102,25470.0,11070330.0,0.8847
B. 1-9,NONPAYER,Unlimited Lives,minutes,Bomb's Ballet,28789,480,1.67,0.14,0.17,15960.0,11070330.0,0.5544,33.25,15960.0,11070330.0,0.5544
B. 1-9,NONPAYER,Unlimited Lives,minutes,Flash Race,28789,277,0.96,0.13,0.26,14430.0,11070330.0,0.5012,52.0939,14430.0,11070330.0,0.5012
B. 1-9,NONPAYER,Unlimited Lives,minutes,Photoshoot,28789,353,1.23,0.11,0.08,12060.0,11070330.0,0.4189,34.1643,12060.0,11070330.0,0.4189
B. 1-9,NONPAYER,Unlimited Lives,minutes,FlowerCoop,28789,2,0.01,0.0,0.0,45.0,11070330.0,0.0016,22.5,45.0,11070330.0,0.0016
B. 1-9,PAYER,Bomb,count,Other,6297,4889,77.64,44.81,50.8,8430.0,18812.0,1.3387,1.7243,8430.0,18812.0,1.3387
B. 1-9,PAYER,Bomb,count,Team Race,6297,1888,29.98,15.9,15.24,2991.0,18812.0,0.475,1.5842,2991.0,18812.0,0.475
B. 1-9,PAYER,Bomb,count,Saga,6297,2527,40.13,14.76,14.85,2776.0,18812.0,0.4408,1.0985,2776.0,18812.0,0.4408
B. 1-9,PAYER,Bomb,count,Season Pass (Free),6297,1419,22.53,11.24,7.75,2114.0,18812.0,0.3357,1.4898,2114.0,18812.0,0.3357
B. 1-9,PAYER,Bomb,count,Flock Flurry,6297,821,13.04,5.35,4.63,1007.0,18812.0,0.1599,1.2266,1007.0,18812.0,0.1599
B. 1-9,PAYER,Bomb,count,Hatchling Hideaway,6297,453,7.19,2.72,2.1,512.0,18812.0,0.0813,1.1302,512.0,18812.0,0.0813
B. 1-9,PAYER,Bomb,count,Flash Race,6297,395,6.27,2.25,1.8,423.0,18812.0,0.0672,1.0709,423.0,18812.0,0.0672
B. 1-9,PAYER,Bomb,count,Core,6297,355,5.64,1.91,1.84,359.0,18812.0,0.057,1.0113,359.0,18812.0,0.057
B. 1-9,PAYER,Bomb,count,Target Day,6297,100,1.59,0.58,0.59,109.0,18812.0,0.0173,1.09,109.0,18812.0,0.0173
B. 1-9,PAYER,Bomb,count,Rainbow Maker,6297,40,0.64,0.3,0.19,56.0,18812.0,0.0089,1.4,56.0,18812.0,0.0089
B. 1-9,PAYER,Bomb,count,Kite Festival,6297,26,0.41,0.15,0.16,28.0,18812.0,0.0044,1.0769,28.0,18812.0,0.0044
B. 1-9,PAYER,Bomb,count,Daily Night Sky Prize,6297,1,0.02,0.01,0.02,1.0,18812.0,0.0002,1.0,1.0,18812.0,0.0002
B. 1-9,PAYER,Bomb,count,Bomb's Ballet,6297,1,0.02,0.01,0.01,1.0,18812.0,0.0002,1.0,1.0,18812.0,0.0002
B. 1-9,PAYER,Bomb,count,FlowerCoop,6297,1,0.02,0.01,0.01,2.0,18812.0,0.0003,2.0,2.0,18812.0,0.0003
B. 1-9,PAYER,Bomb,count,Bomb Challenge,6297,1,0.02,0.01,0.01,2.0,18812.0,0.0003,2.0,2.0,18812.0,0.0003
B. 1-9,PAYER,Bomb,count,Jigsaw,6297,1,0.02,0.01,0.0,1.0,18812.0,0.0002,1.0,1.0,18812.0,0.0002
B. 1-9,PAYER,Chuck,count,Rainbow Maker,7380,4829,65.43,21.63,21.64,9354.0,43240.0,1.2675,1.937,9354.0,43240.0,1.2675
B. 1-9,PAYER,Chuck,count,Other,7380,4906,66.48,19.55,23.44,8452.0,43240.0,1.1453,1.7228,8452.0,43240.0,1.1453
B. 1-9,PAYER,Chuck,count,Season Pass (Free),7380,3950,53.52,15.74,16.35,6804.0,43240.0,0.922,1.7225,6804.0,43240.0,0.922
B. 1-9,PAYER,Chuck,count,Daily Night Sky Prize,7380,2483,33.64,9.43,6.65,4076.0,43240.0,0.5523,1.6416,4076.0,43240.0,0.5523
B. 1-9,PAYER,Chuck,count,Hatchling Hideaway,7380,2080,28.18,6.72,5.59,2904.0,43240.0,0.3935,1.3962,2904.0,43240.0,0.3935
B. 1-9,PAYER,Chuck,count,Jigsaw,7380,2380,32.25,6.4,6.57,2769.0,43240.0,0.3752,1.1634,2769.0,43240.0,0.3752
B. 1-9,PAYER,Chuck,count,Saga,7380,2523,34.19,6.33,6.14,2739.0,43240.0,0.3711,1.0856,2739.0,43240.0,0.3711
B. 1-9,PAYER,Chuck,count,Bomb's Ballet,7380,1841,24.95,4.41,4.29,1906.0,43240.0,0.2583,1.0353,1906.0,43240.0,0.2583
B. 1-9,PAYER,Chuck,count,Team Race,7380,848,11.49,2.51,2.62,1087.0,43240.0,0.1473,1.2818,1087.0,43240.0,0.1473
B. 1-9,PAYER,Chuck,count,Flock Flurry,7380,821,11.12,2.33,2.1,1007.0,43240.0,0.1364,1.2266,1007.0,43240.0,0.1364
B. 1-9,PAYER,Chuck,count,Target Day,7380,756,10.24,2.0,1.93,865.0,43240.0,0.1172,1.1442,865.0,43240.0,0.1172
B. 1-9,PAYER,Chuck,count,Core,7380,465,6.3,1.13,1.14,490.0,43240.0,0.0664,1.0538,490.0,43240.0,0.0664
B. 1-9,PAYER,Chuck,count,Photoshoot,7380,448,6.07,1.05,0.9,454.0,43240.0,0.0615,1.0134,454.0,43240.0,0.0615
B. 1-9,PAYER,Chuck,count,Flash Race,7380,273,3.7,0.67,0.5,290.0,43240.0,0.0393,1.0623,290.0,43240.0,0.0393
B. 1-9,PAYER,Chuck,count,Kite Festival,7380,40,0.54,0.09,0.13,41.0,43240.0,0.0056,1.025,41.0,43240.0,0.0056
B. 1-9,PAYER,Chuck,count,River Rush,7380,2,0.03,0.0,0.02,2.0,43240.0,0.0003,1.0,2.0,43240.0,0.0003
B. 1-9,PAYER,Comet,count,Team Race,5026,3745,74.51,42.32,52.08,5994.0,14165.0,1.1926,1.6005,5994.0,14165.0,1.1926
B. 1-9,PAYER,Comet,count,Ads,5026,1301,25.89,16.21,12.28,2296.0,14165.0,0.4568,1.7648,2296.0,14165.0,0.4568
B. 1-9,PAYER,Comet,count,Team Event,5026,590,11.74,10.79,6.57,1528.0,14165.0,0.304,2.5898,1528.0,14165.0,0.304
B. 1-9,PAYER,Comet,count,Rainbow Maker,5026,934,18.58,8.54,6.49,1209.0,14165.0,0.2405,1.2944,1209.0,14165.0,0.2405
B. 1-9,PAYER,Comet,count,Daily Gift,5026,856,17.03,6.3,6.09,893.0,14165.0,0.1777,1.0432,893.0,14165.0,0.1777
B. 1-9,PAYER,Comet,count,Core,5026,529,10.53,3.78,4.94,536.0,14165.0,0.1066,1.0132,536.0,14165.0,0.1066
B. 1-9,PAYER,Comet,count,Season Pass (Free),5026,324,6.45,3.38,3.04,479.0,14165.0,0.0953,1.4784,479.0,14165.0,0.0953
B. 1-9,PAYER,Comet,count,Hatchling Hideaway,5026,409,8.14,3.26,2.49,462.0,14165.0,0.0919,1.1296,462.0,14165.0,0.0919
B. 1-9,PAYER,Comet,count,Flash Race,5026,325,6.47,2.56,2.84,363.0,14165.0,0.0722,1.1169,363.0,14165.0,0.0722
B. 1-9,PAYER,Comet,count,Other,5026,287,5.71,2.2,2.3,311.0,14165.0,0.0619,1.0836,311.0,14165.0,0.0619
B. 1-9,PAYER,Comet,count,Target Day,5026,35,0.7,0.28,0.26,40.0,14165.0,0.008,1.1429,40.0,14165.0,0.008
B. 1-9,PAYER,Comet,count,Bomb Challenge,5026,12,0.24,0.09,0.12,13.0,14165.0,0.0026,1.0833,13.0,14165.0,0.0026
B. 1-9,PAYER,Comet,count,Red Challenge,5026,9,0.18,0.07,0.16,10.0,14165.0,0.002,1.1111,10.0,14165.0,0.002
B. 1-9,PAYER,Comet,count,Saga,5026,10,0.2,0.07,0.16,10.0,14165.0,0.002,1.0,10.0,14165.0,0.002
B. 1-9,PAYER,Comet,count,Kite Festival,5026,7,0.14,0.05,0.06,7.0,14165.0,0.0014,1.0,7.0,14165.0,0.0014
B. 1-9,PAYER,Comet,count,River Rush,5026,5,0.1,0.04,0.06,5.0,14165.0,0.001,1.0,5.0,14165.0,0.001
B. 1-9,PAYER,Comet,count,Daily Night Sky Prize,5026,3,0.06,0.03,0.01,4.0,14165.0,0.0008,1.3333,4.0,14165.0,0.0008
B. 1-9,PAYER,Comet,count,Chuck Challenge,5026,3,0.06,0.02,0.03,3.0,14165.0,0.0006,1.0,3.0,14165.0,0.0006
B. 1-9,PAYER,Comet,count,Bomb's Ballet,5026,1,0.02,0.01,0.0,1.0,14165.0,0.0002,1.0,1.0,14165.0,0.0002
B. 1-9,PAYER,Comet,count,Jigsaw,5026,1,0.02,0.01,0.0,1.0,14165.0,0.0002,1.0,1.0,14165.0,0.0002
B. 1-9,PAYER,HC,HC,Daily Gift,8326,7330,88.04,23.8,25.79,671325.0,2820571.47,80.63,91.5859,671325.0,2849820.0,80.63
B. 1-9,PAYER,HC,HC,Team Event,8326,2544,30.55,17.16,10.23,484100.0,2820571.47,58.1432,190.2909,484100.0,2849820.0,58.1432
B. 1-9,PAYER,HC,HC,Team Race,8326,3900,46.84,15.4,14.61,434335.0,2820571.47,52.1661,111.3679,434335.0,2849820.0,52.1661
B. 1-9,PAYER,HC,HC,Ads,8326,2976,35.74,7.94,5.98,224075.0,2820571.47,26.9127,75.294,224075.0,2849820.0,26.9127
B. 1-9,PAYER,HC,HC,Daily Night Sky Prize,8326,5257,63.14,7.63,8.27,215280.0,2820571.47,25.8564,40.9511,215280.0,2849820.0,25.8564
B. 1-9,PAYER,HC,HC,Rainbow Maker,8326,6064,72.83,6.59,9.13,185871.47,2820571.47,22.3242,30.6516,215120.0,2849820.0,25.8371
B. 1-9,PAYER,HC,HC,Saga,8326,5653,67.9,6.0,8.04,169150.0,2820571.47,20.3159,29.9222,169150.0,2849820.0,20.3159
B. 1-9,PAYER,HC,HC,Season Pass (Free),8326,4534,54.46,5.19,7.53,146495.0,2820571.47,17.5949,32.3103,146495.0,2849820.0,17.5949
B. 1-9,PAYER,HC,HC,Core,8326,2770,33.27,4.04,4.77,113930.0,2820571.47,13.6836,41.13,113930.0,2849820.0,13.6836
B. 1-9,PAYER,HC,HC,Other,8326,2312,27.77,2.49,1.77,70105.0,2820571.47,8.42,30.3222,70105.0,2849820.0,8.42
B. 1-9,PAYER,HC,HC,Flash Race,8326,1012,12.15,1.25,1.2,35230.0,2820571.47,4.2313,34.8123,35230.0,2849820.0,4.2313
B. 1-9,PAYER,HC,HC,Hatchling Hideaway,8326,2102,25.25,1.08,1.09,30580.0,2820571.47,3.6728,14.548,30580.0,2849820.0,3.6728
B. 1-9,PAYER,HC,HC,Target Day,8326,202,2.43,0.41,0.49,11425.0,2820571.47,1.3722,56.5594,11425.0,2849820.0,1.3722
B. 1-9,PAYER,HC,HC,Bomb Challenge,8326,98,1.18,0.32,0.3,8950.0,2820571.47,1.0749,91.3265,8950.0,2849820.0,1.0749
B. 1-9,PAYER,HC,HC,Red Challenge,8326,71,0.85,0.23,0.35,6500.0,2820571.47,0.7807,91.5493,6500.0,2849820.0,0.7807
B. 1-9,PAYER,HC,HC,Kite Festival,8326,31,0.37,0.18,0.12,4950.0,2820571.47,0.5945,159.6774,4950.0,2849820.0,0.5945
B. 1-9,PAYER,HC,HC,Chuck Challenge,8326,37,0.44,0.1,0.13,2800.0,2820571.47,0.3363,75.6757,2800.0,2849820.0,0.3363
B. 1-9,PAYER,HC,HC,Jigsaw,8326,58,0.7,0.07,0.08,1950.0,2820571.47,0.2342,33.6207,1950.0,2849820.0,0.2342
B. 1-9,PAYER,HC,HC,Bomb's Ballet,8326,68,0.82,0.06,0.05,1825.0,2820571.47,0.2192,26.8382,1825.0,2849820.0,0.2192
B. 1-9,PAYER,HC,HC,Photoshoot,8326,54,0.65,0.05,0.03,1425.0,2820571.47,0.1712,26.3889,1425.0,2849820.0,0.1712
B. 1-9,PAYER,HC,HC,River Rush,8326,6,0.07,0.01,0.03,270.0,2820571.47,0.0324,45.0,270.0,2849820.0,0.0324
B. 1-9,PAYER,Red,count,Daily Night Sky Prize,7707,4854,62.98,22.9,18.6,12478.0,54487.0,1.619,2.5707,12478.0,54487.0,1.619
