engagement_segment,payer_flag,resource,unit,category,resource_earners,recipients,recipient_rate_pct,pct_of_resource_pool,mean_share_all_earners_pct,category_amount,resource_pool_amount,amount_per_earner,amount_per_recipient,category_amount_uncorrected,resource_pool_amount_uncorrected,amount_per_earner_uncorrected
A. 0,NONPAYER,UL Chuck,minutes,Other,2013,46,2.29,3.02,2.24,1680.0,55630.0,0.8346,36.5217,1680.0,55630.0,0.8346
A. 0,NONPAYER,UL Chuck,minutes,Bomb's Ballet,2013,156,7.75,2.9,7.27,1615.0,55630.0,0.8023,10.3526,1615.0,55630.0,0.8023
A. 0,NONPAYER,UL Chuck,minutes,Hatchling Hideaway,2013,74,3.68,1.33,3.48,740.0,55630.0,0.3676,10.0,740.0,55630.0,0.3676
A. 0,NONPAYER,UL Chuck,minutes,Rainbow Maker,2013,9,0.45,0.2,0.41,110.0,55630.0,0.0546,12.2222,110.0,55630.0,0.0546
A. 0,NONPAYER,UL Chuck,minutes,Photoshoot,2013,3,0.15,0.08,0.15,45.0,55630.0,0.0224,15.0,45.0,55630.0,0.0224
A. 0,NONPAYER,UL Chuck,minutes,Team Race,2013,1,0.05,0.03,0.05,15.0,55630.0,0.0075,15.0,15.0,55630.0,0.0075
A. 0,NONPAYER,UL Red,minutes,Daily Gift,3264,547,16.76,49.0,16.46,35400.0,72250.0,10.8456,64.7166,35400.0,72250.0,10.8456
A. 0,NONPAYER,UL Red,minutes,Season Pass (Free),3264,1586,48.59,28.93,46.54,20900.0,72250.0,6.4032,13.1778,20900.0,72250.0,6.4032
A. 0,NONPAYER,UL Red,minutes,Jigsaw,3264,679,20.8,11.31,19.31,8175.0,72250.0,2.5046,12.0398,8175.0,72250.0,2.5046
A. 0,NONPAYER,UL Red,minutes,Bomb's Ballet,3264,302,9.25,4.35,8.48,3140.0,72250.0,0.962,10.3974,3140.0,72250.0,0.962
A. 0,NONPAYER,UL Red,minutes,Hatchling Hideaway,3264,181,5.55,2.57,5.27,1860.0,72250.0,0.5699,10.2762,1860.0,72250.0,0.5699
A. 0,NONPAYER,UL Red,minutes,Other,3264,46,1.41,2.33,1.36,1680.0,72250.0,0.5147,36.5217,1680.0,72250.0,0.5147
A. 0,NONPAYER,UL Red,minutes,Rainbow Maker,3264,88,2.7,1.33,2.35,960.0,72250.0,0.2941,10.9091,960.0,72250.0,0.2941
A. 0,NONPAYER,UL Red,minutes,Photoshoot,3264,8,0.25,0.17,0.22,120.0,72250.0,0.0368,15.0,120.0,72250.0,0.0368
