segment,payer_flag,currency,gain_per_active_player,spend_per_active_player,net_per_active_player,resource_earners,gain_per_earner,spend_per_earner,net_per_earner,gain_p25,gain_p50,gain_p75,gain_p90,spend_p25,spend_p50,spend_p75,spend_p90,net_p25,net_p50,net_p75,net_p90,player_days
0-9,PAYER,SPTx2,8.0541,0.0,8.0541,1547,16.5611,0.0,16.5611,0.0,3.8012,18.4463,20.0,0.0,0.0,0.0,0.0,0.0,3.8012,18.4463,20.0,24521
10-19,NONPAYER,HC,315.5922,304.011,11.5812,25267,318.5649,306.8746,11.6903,40.0,101.0354,331.9181,1021.3108,0.0,84.1588,343.1662,1009.8502,-48.6204,27.9827,70.2417,168.0628,103629
10-19,NONPAYER,Slingshot,4.831,4.2912,0.5398,14214,8.6686,7.6999,0.9686,0.0,0.915,5.6994,17.5443,0.0,0.6493,4.3331,15.6579,-0.1302,0.0,1.0502,3.8077,103629
10-19,NONPAYER,Shuffle,3.0153,3.1601,-0.1448,11755,6.5424,6.8565,-0.3141,0.0,0.1014,3.2163,11.0245,0.0,0.5761,3.5679,10.8079,-0.8722,0.0,0.157,1.9787,103629
10-19,NONPAYER,Comet,1.3569,1.806,-0.4491,8276,4.1816,5.5657,-1.3841,0.0,0.0,1.109,5.022,0.0,0.287,2.5462,5.8036,-1.0,0.0,0.0,1.0,103629
10-19,NONPAYER,Red,5.0118,4.5695,0.4423,16814,7.6024,6.9315,0.6709,0.0,2.1558,6.4264,16.6148,0.8756,1.0,3.9675,15.7741,-1.0,-0.0455,2.1273,4.8575,103629
10-19,NONPAYER,Chuck,5.3067,3.9553,1.3514,20377,6.6421,4.9506,1.6915,1.5565,2.1142,6.856,15.721,0.0,0.496,4.0473,14.411,-0.0879,1.4367,2.6008,5.8915,103629
10-19,NONPAYER,Bomb,2.6697,2.218,0.4517,15816,4.3051,3.5768,0.7284,0.0,1.7633,3.0726,7.8489,0.0,0.0764,2.7352,7.3221,-0.1584,0.0,2.0,3.0,103629
10-19,NONPAYER,UL Bomb,1.8059,0.7227,1.0832,1771,26.0079,10.4082,15.5997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103629
10-19,NONPAYER,UL Chuck,8.9986,3.2567,5.7419,8406,27.3031,9.8813,17.4218,0.0,0.0,13.9792,25.7927,0.0,0.0,4.5416,11.1438,0.0,0.0,5.8788,15.9414,103629
10-19,NONPAYER,UL Red,15.9455,5.7811,10.1644,10319,39.4118,14.289,25.1228,0.0,0.0329,19.135,53.8262,0.0,0.0,7.562,19.2719,0.0,0.0071,10.0122,33.105,103629
10-19,NONPAYER,Unlimited Lives,456.4789,0.0069,456.472,24446,476.2535,0.0072,476.2464,19.6985,144.3321,483.6062,1561.5654,0.0,0.0,0.0,0.0,18.5911,144.3233,483.61,1561.5654,103629
10-19,NONPAYER,SPT,523.3996,0.0,523.3996,15103,883.8845,0.0,883.8845,0.0,73.3795,489.8045,1963.6681,0.0,0.0,0.0,0.0,0.0,73.3795,489.8045,1963.6681,103629
