segment,payer_flag,currency,gain_per_active_player,spend_per_active_player,net_per_active_player,resource_earners,gain_per_earner,spend_per_earner,net_per_earner,gain_p25,gain_p50,gain_p75,gain_p90,spend_p25,spend_p50,spend_p75,spend_p90,net_p25,net_p50,net_p75,net_p90,player_days
100+,PAYER,Comet,20.9406,17.9901,2.9505,199,21.2563,18.2613,2.995,5.0,9.3333,17.5313,39.85,8.0938,13.0,21.3125,39.25,-5.0,-3.25,0.0,2.45,1451
100+,PAYER,Red,25.896,33.5347,-7.6386,202,25.896,33.5347,-7.6386,14.0,21.8333,31.3333,50.9,17.4762,27.3889,43.3125,68.9,-9.6429,-6.0,-1.3333,5.4,1451
100+,PAYER,Chuck,27.1584,33.5248,-6.3663,202,27.1584,33.5248,-6.3663,16.1563,23.1389,34.2222,50.45,17.6667,27.5,43.6429,65.45,-8.3125,-4.6667,-1.0,6.9,1451
100+,PAYER,Bomb,22.3614,26.3465,-3.9851,202,22.3614,26.3465,-3.9851,10.1429,16.5,27.6667,51.2,11.7857,18.6278,34.8571,62.35,-6.0,-3.0,0.0833,5.45,1451
100+,PAYER,UL Bomb,27.6485,36.5,-8.8515,139,40.1799,53.0432,-12.8633,0.0,16.9444,45.0,79.75,0.375,19.5944,46.75,74.4,-4.5313,0.0,4.9333,18.0,1451
100+,PAYER,UL Chuck,71.3119,63.5644,7.7475,194,74.2526,66.1856,8.067,30.0,49.2,105.0,162.0,22.1429,39.6636,79.4375,129.3,-0.6429,9.1667,25.8889,50.55,1451
100+,PAYER,UL Red,96.7822,77.7673,19.0149,200,97.75,78.545,19.205,51.1111,80.8333,130.0,185.0,35.2,57.5,95.5833,154.15,6.619,19.75,38.7333,72.25,1451
100+,PAYER,Unlimited Lives,3558.1535,0.0,3558.1535,202,3558.1535,0.0,3558.1535,1513.6905,2443.7879,4350.7143,8735.0,0.0,0.0,0.0,0.0,1513.6905,2443.7879,4350.7143,8735.0,1451
100+,PAYER,SPT,6013.4802,0.0,6013.4802,200,6073.615,0.0,6073.615,2698.1875,4012.1667,6762.0,12748.7,0.0,0.0,0.0,0.0,2698.1875,4012.1667,6762.0,12748.7,1451
100+,PAYER,SPTx2,25.8416,0.0,25.8416,136,38.3824,0.0,38.3824,0.0,28.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,60.0,1451
