event_name,payer_flag,segment,seg_rank,event_day,instance_length_days,n_instances,n_participants,cum_token_share_mean,cum_token_share_p50,cum_token_share_p25,cum_token_share_p75,cum_levels_share_mean
Bombs Ballet,NONPAYER,20-39,3,5,5,1,14,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,PAYER,20-39,3,1,5,2,1461,0.3489,0.2643,0.0001,0.5919,0.3489
Bombs Ballet,PAYER,20-39,3,2,5,2,1461,0.6565,0.7429,0.4215,0.9996,0.6564
Bombs Ballet,PAYER,20-39,3,3,5,2,1461,0.9675,1.0,1.0,1.0,0.9675
Bombs Ballet,PAYER,20-39,3,4,5,2,1461,0.9997,1.0,1.0,1.0,0.9997
Bombs Ballet,PAYER,20-39,3,5,5,1,13,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,NONPAYER,40-99,4,1,5,2,3518,0.3713,0.3336,0.1211,0.553,0.3715
Bombs Ballet,NONPAYER,40-99,4,2,5,2,3518,0.6844,0.7307,0.5386,0.9417,0.6846
Bombs Ballet,NONPAYER,40-99,4,3,5,2,3518,0.9767,1.0,0.9977,1.0,0.9767
Bombs Ballet,NONPAYER,40-99,4,4,5,2,3518,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,NONPAYER,40-99,4,5,5,1,14,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,PAYER,40-99,4,1,5,2,913,0.3675,0.3221,0.049,0.5836,0.3675
Bombs Ballet,PAYER,40-99,4,2,5,2,913,0.6855,0.748,0.5248,0.964,0.6854
Bombs Ballet,PAYER,40-99,4,3,5,2,913,0.9694,1.0,0.9998,1.0,0.9693
Bombs Ballet,PAYER,40-99,4,4,5,2,913,0.9996,1.0,1.0,1.0,0.9996
Bombs Ballet,PAYER,40-99,4,5,5,1,7,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,NONPAYER,100+,5,1,5,2,528,0.4213,0.4283,0.1301,0.6496,0.422
Bombs Ballet,NONPAYER,100+,5,2,5,2,528,0.7362,0.8506,0.5998,1.0,0.7373
Bombs Ballet,NONPAYER,100+,5,3,5,2,528,0.9738,1.0,1.0,1.0,0.974
Bombs Ballet,NONPAYER,100+,5,4,5,2,528,0.9999,1.0,1.0,1.0,0.9999
Bombs Ballet,NONPAYER,100+,5,5,5,1,4,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,PAYER,100+,5,1,4,1,144,0.3627,0.3219,0.0,0.6462,0.3631
Bombs Ballet,PAYER,100+,5,2,4,1,144,0.6985,0.8573,0.5443,1.0,0.6992
Bombs Ballet,PAYER,100+,5,3,4,1,144,0.9746,1.0,1.0,1.0,0.9751
Bombs Ballet,PAYER,100+,5,4,4,1,144,1.0,1.0,1.0,1.0,1.0
Chuck,NONPAYER,0-9,1,1,3,2,9623,0.4302,0.3606,0.0,0.9068,0.4291
Chuck,NONPAYER,0-9,1,2,3,2,9623,0.934,1.0,1.0,1.0,0.9333
Chuck,NONPAYER,0-9,1,3,3,2,9623,1.0,1.0,1.0,1.0,1.0
Chuck,PAYER,0-9,1,1,3,2,3661,0.4361,0.3829,0.0,0.8385,0.4352
Chuck,PAYER,0-9,1,2,3,2,3661,0.9346,1.0,1.0,1.0,0.934
Chuck,PAYER,0-9,1,3,3,2,3661,1.0,1.0,1.0,1.0,1.0
Chuck,NONPAYER,10-19,2,1,3,2,10175,0.4503,0.4283,0.0215,0.7874,0.4499
Chuck,NONPAYER,10-19,2,2,3,2,10175,0.9412,1.0,0.9996,1.0,0.9415
Chuck,NONPAYER,10-19,2,3,3,2,10175,1.0,1.0,1.0,1.0,1.0
Chuck,PAYER,10-19,2,1,3,2,2728,0.4549,0.4386,0.0515,0.7738,0.4543
Chuck,PAYER,10-19,2,2,3,2,2728,0.9406,1.0,1.0,1.0,0.9405
Chuck,PAYER,10-19,2,3,3,2,2728,1.0,1.0,1.0,1.0,1.0
Chuck,NONPAYER,20-39,3,1,3,2,8132,0.4651,0.4575,0.154,0.7372,0.4657
Chuck,NONPAYER,20-39,3,2,3,2,8132,0.9475,1.0,0.993,1.0,0.9476
Chuck,NONPAYER,20-39,3,3,3,2,8132,1.0,1.0,1.0,1.0,1.0
Chuck,PAYER,20-39,3,1,3,2,1993,0.4488,0.4361,0.1049,0.7325,0.4487
Chuck,PAYER,20-39,3,2,3,2,1993,0.9416,1.0,0.9898,1.0,0.9421
Chuck,PAYER,20-39,3,3,3,2,1993,1.0,1.0,1.0,1.0,1.0
Chuck,NONPAYER,40-99,4,1,3,2,4390,0.4885,0.4909,0.2741,0.6993,0.4899
Chuck,NONPAYER,40-99,4,2,3,2,4390,0.9563,1.0,0.9823,1.0,0.9567
Chuck,NONPAYER,40-99,4,3,3,2,4390,1.0,1.0,1.0,1.0,1.0
Chuck,PAYER,40-99,4,1,3,2,1203,0.4808,0.482,0.2273,0.7244,0.4812
Chuck,PAYER,40-99,4,2,3,2,1203,0.9491,1.0,0.9842,1.0,0.9499
Chuck,PAYER,40-99,4,3,3,2,1203,1.0,1.0,1.0,1.0,1.0
Chuck,NONPAYER,100+,5,1,3,2,685,0.4708,0.4875,0.2709,0.665,0.4737
Chuck,NONPAYER,100+,5,2,3,2,685,0.9445,1.0,0.9541,1.0,0.9462
Chuck,NONPAYER,100+,5,3,3,2,685,1.0,1.0,1.0,1.0,1.0
Chuck,PAYER,100+,5,1,3,2,190,0.4535,0.4797,0.2592,0.6696,0.4541
Chuck,PAYER,100+,5,2,3,2,190,0.9555,1.0,0.9637,1.0,0.9565
Chuck,PAYER,100+,5,3,3,2,190,1.0,1.0,1.0,1.0,1.0
Dream Heist,NONPAYER,0-9,1,1,2,92,24511,0.9477,1.0,1.0,1.0,0.95
Dream Heist,NONPAYER,0-9,1,2,2,92,24511,1.0,1.0,1.0,1.0,1.0
Dream Heist,PAYER,0-9,1,1,2,94,7604,0.9483,1.0,1.0,1.0,0.9502
Dream Heist,PAYER,0-9,1,2,2,94,7604,1.0,1.0,1.0,1.0,1.0
Dream Heist,NONPAYER,10-19,2,1,2,99,25027,0.9496,1.0,1.0,1.0,0.9534
Dream Heist,NONPAYER,10-19,2,2,2,99,25027,1.0,1.0,1.0,1.0,1.0
Dream Heist,PAYER,10-19,2,1,2,99,6822,0.9507,1.0,1.0,1.0,0.9537
Dream Heist,PAYER,10-19,2,2,2,99,6822,1.0,1.0,1.0,1.0,1.0
Dream Heist,NONPAYER,20-39,3,1,2,101,19778,0.952,1.0,1.0,1.0,0.9566
Dream Heist,NONPAYER,20-39,3,2,2,101,19778,1.0,1.0,1.0,1.0,1.0
Dream Heist,PAYER,20-39,3,1,2,96,4987,0.9518,1.0,1.0,1.0,0.9563
Dream Heist,PAYER,20-39,3,2,2,96,4987,1.0,1.0,1.0,1.0,1.0
Dream Heist,NONPAYER,40-99,4,1,2,104,10762,0.9592,1.0,0.9996,1.0,0.9636
Dream Heist,NONPAYER,40-99,4,2,2,104,10762,1.0,1.0,1.0,1.0,1.0
Dream Heist,PAYER,40-99,4,1,2,102,2698,0.9585,1.0,1.0,1.0,0.9631
Dream Heist,PAYER,40-99,4,2,2,102,2698,1.0,1.0,1.0,1.0,1.0
Dream Heist,NONPAYER,100+,5,1,2,97,2147,0.9663,1.0,0.9983,1.0,0.97
Dream Heist,NONPAYER,100+,5,2,2,97,2147,1.0,1.0,1.0,1.0,1.0
Dream Heist,PAYER,100+,5,1,2,86,557,0.9626,1.0,0.9999,1.0,0.9669
Dream Heist,PAYER,100+,5,2,2,86,557,1.0,1.0,1.0,1.0,1.0
Flash Race,NONPAYER,0-9,1,1,2,17,11078,0.9407,1.0,1.0,1.0,0.9407
Flash Race,NONPAYER,0-9,1,2,2,17,11078,1.0,1.0,1.0,1.0,1.0
Flash Race,PAYER,0-9,1,1,2,15,4312,0.94,1.0,1.0,1.0,0.94
Flash Race,PAYER,0-9,1,2,2,15,4312,1.0,1.0,1.0,1.0,1.0
Flash Race,NONPAYER,10-19,2,1,2,17,13362,0.9491,1.0,1.0,1.0,0.9491
Flash Race,NONPAYER,10-19,2,2,2,17,13362,1.0,1.0,1.0,1.0,1.0
Flash Race,PAYER,10-19,2,1,2,15,3960,0.9473,1.0,1.0,1.0,0.9473
Flash Race,PAYER,10-19,2,2,2,15,3960,1.0,1.0,1.0,1.0,1.0
Flash Race,NONPAYER,20-39,3,1,2,14,11446,0.9575,1.0,1.0,1.0,0.9575
Flash Race,NONPAYER,20-39,3,2,2,14,11446,1.0,1.0,1.0,1.0,1.0
Flash Race,PAYER,20-39,3,1,2,13,2970,0.9634,1.0,1.0,1.0,0.9634
Flash Race,PAYER,20-39,3,2,2,13,2970,1.0,1.0,1.0,1.0,1.0
Flash Race,NONPAYER,40-99,4,1,2,14,6837,0.9725,1.0,1.0,1.0,0.9725
Flash Race,NONPAYER,40-99,4,2,2,14,6837,1.0,1.0,1.0,1.0,1.0
Flash Race,PAYER,40-99,4,1,2,13,1766,0.9773,1.0,1.0,1.0,0.9773
Flash Race,PAYER,40-99,4,2,2,13,1766,1.0,1.0,1.0,1.0,1.0
Flash Race,NONPAYER,100+,5,1,2,10,1241,0.9859,1.0,1.0,1.0,0.9859
Flash Race,NONPAYER,100+,5,2,2,10,1241,1.0,1.0,1.0,1.0,1.0
Flash Race,PAYER,100+,5,1,2,9,334,0.9816,1.0,1.0,1.0,0.9816
Flash Race,PAYER,100+,5,2,2,9,334,1.0,1.0,1.0,1.0,1.0
Flock Flurry,NONPAYER,0-9,1,1,2,20,10442,0.9595,1.0,1.0,1.0,0.9594
Flock Flurry,NONPAYER,0-9,1,2,2,20,10442,1.0,1.0,1.0,1.0,1.0
Flock Flurry,PAYER,0-9,1,1,2,22,4159,0.9601,1.0,1.0,1.0,0.9602
Flock Flurry,PAYER,0-9,1,2,2,22,4159,1.0,1.0,1.0,1.0,1.0
Flock Flurry,NONPAYER,10-19,2,1,2,22,14009,0.9681,1.0,1.0,1.0,0.9682
Flock Flurry,NONPAYER,10-19,2,2,2,22,14009,1.0,1.0,1.0,1.0,1.0
Flock Flurry,PAYER,10-19,2,1,2,22,4185,0.9633,1.0,1.0,1.0,0.9635
Flock Flurry,PAYER,10-19,2,2,2,22,4185,1.0,1.0,1.0,1.0,1.0
Flock Flurry,NONPAYER,20-39,3,1,2,21,12384,0.9764,1.0,1.0,1.0,0.9765
Flock Flurry,NONPAYER,20-39,3,2,2,21,12384,1.0,1.0,1.0,1.0,1.0
Flock Flurry,PAYER,20-39,3,1,2,19,3308,0.9707,1.0,1.0,1.0,0.9711
Flock Flurry,PAYER,20-39,3,2,2,19,3308,1.0,1.0,1.0,1.0,1.0
Flock Flurry,NONPAYER,40-99,4,1,2,20,7437,0.9853,1.0,1.0,1.0,0.9854
Flock Flurry,NONPAYER,40-99,4,2,2,20,7437,1.0,1.0,1.0,1.0,1.0
Flock Flurry,PAYER,40-99,4,1,2,18,2023,0.9813,1.0,1.0,1.0,0.9811
Flock Flurry,PAYER,40-99,4,2,2,18,2023,1.0,1.0,1.0,1.0,1.0
Flock Flurry,NONPAYER,100+,5,1,2,15,1373,0.9873,1.0,1.0,1.0,0.9874
Flock Flurry,NONPAYER,100+,5,2,2,15,1373,1.0,1.0,1.0,1.0,1.0
Flock Flurry,PAYER,100+,5,1,2,12,385,0.9905,1.0,1.0,1.0,0.9906
Flock Flurry,PAYER,100+,5,2,2,12,385,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,NONPAYER,0-9,1,1,5,6,16663,0.219,0.03,0.0,0.3432,0.2192
Hatchling Hideaway,NONPAYER,0-9,1,2,5,6,16663,0.4589,0.4375,0.02,0.8326,0.459
